
[00:00:00.000 --> 00:00:03.300]  鼎姐妹早晨 不如給點掌聲敬拜隊好嗎
[00:16:46.000 --> 00:16:48.000]  無助
[00:16:48.000 --> 00:16:51.000]  我們要自認需要耶穌
[00:16:51.000 --> 00:16:54.000]  我們很想耶穌幫我們
[00:16:54.000 --> 00:16:57.000]  我們要對耶穌有一個倚靠的心
[00:16:57.000 --> 00:16:59.000]  我相信這個才是最重要
[00:16:59.000 --> 00:17:00.000]  耶穌生氣的
[00:17:00.000 --> 00:17:02.000]  他絕對有理由的
[00:17:02.000 --> 00:17:06.000]  因為耶穌生氣的門徒是驕傲
[00:17:06.000 --> 00:17:08.000]  自以為是
[00:17:08.000 --> 00:17:11.000]  耶穌很想我們像小孩子
[00:17:11.000 --> 00:17:13.000]  有一個謙卑倚靠的心
[00:17:13.000 --> 00:17:14.000]  弟兄姊妹
[00:17:14.000 --> 00:17:16.000]  我們像不像小孩子?
[00:17:16.000 --> 00:17:19.000]  今天疫情對於我們所有人
[00:17:19.000 --> 00:17:20.000]  都是很不容易的
[00:17:20.000 --> 00:17:23.000]  特別對於我們家長更加不容易
[00:17:23.000 --> 00:17:27.000]  疫情可以在家工作
[00:17:27.000 --> 00:17:29.000]  對於家裡有小朋友
[00:17:29.000 --> 00:17:33.000]  在家工作就等於在家困獸鬥
[00:17:33.000 --> 00:17:37.000]  大家的情緒很高漲
[00:17:37.000 --> 00:17:38.000]  很高溫
[00:17:38.000 --> 00:17:40.000]  簡直是一百忽可收拾
[00:17:40.000 --> 00:17:43.000]  有一次我火都來了
[00:17:43.000 --> 00:17:46.000]  突然好像按了噴火按鈕
[00:17:46.000 --> 00:17:47.000]  很生氣
[00:17:47.000 --> 00:17:48.000]  罵人
[00:17:48.000 --> 00:17:50.000]  每樣都很不滿意
[00:17:50.000 --> 00:17:52.000]  當我發火之際
[00:17:52.000 --> 00:17:55.000]  兒子對我說了一句話
[00:17:55.000 --> 00:17:57.000]  爸爸不要這麼大聲
[00:17:57.000 --> 00:17:59.000]  不要生氣
[00:17:59.000 --> 00:18:02.000]  耶穌會抱著你的
[00:18:02.000 --> 00:18:03.000]  我聽到這句話
[00:18:03.000 --> 00:18:05.000]  我突然停下來
[00:18:05.000 --> 00:18:08.000]  耶穌抱著你?
[00:18:08.000 --> 00:18:10.000]  耶穌抱著你?
[00:18:10.000 --> 00:18:16.000]  我好像很久沒有經歷過這種體會
[00:18:16.000 --> 00:18:18.000]  我也沒有想過
[00:18:18.000 --> 00:18:21.000]  耶穌會抱著我
[00:18:21.000 --> 00:18:24.000]  甚至我也沒有期望
[00:18:24.000 --> 00:18:28.000]  耶穌和我這麼近的關係
[00:18:28.000 --> 00:18:32.000]  因為一直都是靠著自己做很多事
[00:18:32.000 --> 00:18:36.000]  不過兒子一句很簡單的話
[00:18:36.000 --> 00:18:39.000]  耶穌抱著你
[00:18:39.000 --> 00:18:40.000]  弟兄姊妹
[00:18:40.000 --> 00:18:43.000]  這句單純的話
[00:18:43.000 --> 00:18:45.000]  你信不信?
[00:18:45.000 --> 00:18:48.000]  你有沒有體會過?
[00:18:48.000 --> 00:18:50.000]  兒子這句話對於我一個成人來說
[00:18:50.000 --> 00:18:55.000]  我好像有點陌生
[00:18:55.000 --> 00:18:59.000]  但我又很想經歷
[00:18:59.000 --> 00:19:01.000]  弟兄姊妹
[00:19:01.000 --> 00:19:03.000]  單純的說話很重要
[00:19:03.000 --> 00:19:05.000]  是鼓勵到我們的生命
[00:19:05.000 --> 00:19:08.000]  另外很想和大家分享一件事
[00:19:08.000 --> 00:19:09.000]  在我侍奉中
[00:19:09.000 --> 00:19:10.000]  幾年前
[00:19:10.000 --> 00:19:13.000]  我曾經進入一個很低潮的時間
[00:19:13.000 --> 00:19:15.000]  當時很不容易
[00:19:15.000 --> 00:19:16.000]  很大壓力
[00:19:16.000 --> 00:19:18.000]  不過很感謝神
[00:19:18.000 --> 00:19:20.000]  讓我有一班很好的同工
[00:19:20.000 --> 00:19:22.000]  和我一起同行
[00:19:22.000 --> 00:19:24.000]  另外當時
[00:19:24.000 --> 00:19:27.000]  我覺得最能夠撐住我的
[00:19:27.000 --> 00:19:29.000]  是我的家庭
[00:19:29.000 --> 00:19:31.000]  當我回到家的時候
[00:19:31.000 --> 00:19:33.000]  打開門
[00:19:33.000 --> 00:19:36.000]  我的兒女走上前來
[00:19:36.000 --> 00:19:37.000]  爸爸
[00:19:37.000 --> 00:19:39.000]  很想念你
[00:19:39.000 --> 00:19:41.000]  他們好像樹熊一樣抱著我
[00:19:41.000 --> 00:19:44.000]  我覺得他們一句單純的話
[00:19:44.000 --> 00:19:47.000]  一個很簡單的動作
[00:19:47.000 --> 00:19:49.000]  去鼓勵到我
[00:19:49.000 --> 00:19:52.000]  我重新再去振作
[00:19:52.000 --> 00:19:54.000]  雖然我仍然在困難中
[00:19:54.000 --> 00:19:58.000]  不過耶穌就讓這些小孩子
[00:19:58.000 --> 00:20:00.000]  一個單純的說話
[00:20:00.000 --> 00:20:02.000]  一個單純的動作
[00:20:02.000 --> 00:20:04.000]  鼓勵我繼續向前行
[00:20:04.000 --> 00:20:05.000]  要繼續堅持
[00:20:05.000 --> 00:20:07.000]  不要放棄
[00:20:07.000 --> 00:20:10.000]  甚至我看到兒女
[00:20:10.000 --> 00:20:12.000]  他們對著爸爸
[00:20:12.000 --> 00:20:15.000]  有一份依賴的心
[00:20:15.000 --> 00:20:16.000]  弟兄姊妹
[00:20:16.000 --> 00:20:18.000]  我們和神的關係
[00:20:18.000 --> 00:20:19.000]  有時我們會否失去了
[00:20:19.000 --> 00:20:21.000]  小孩子的心態呢?
[00:20:21.000 --> 00:20:24.000]  有時我們會否失去了這種單純
[00:20:24.000 --> 00:20:26.000]  失去了這種倚靠
[00:20:26.000 --> 00:20:28.000]  我們信主很久了
[00:20:28.000 --> 00:20:30.000]  但我們有時知識多了
[00:20:30.000 --> 00:20:31.000]  學識多了
[00:20:31.000 --> 00:20:34.000]  或者靠著自己做很多事
[00:20:34.000 --> 00:20:38.000]  但卻失去了倚靠神的心
[00:20:38.000 --> 00:20:40.000]  我們要再一次宣告
[00:20:40.000 --> 00:20:42.000]  我們需要耶穌
[00:20:42.000 --> 00:20:44.000]  需要耶穌幫我們
[00:20:44.000 --> 00:20:47.000]  很想我們像一個小孩一樣
[00:20:47.000 --> 00:20:49.000]  依賴爸爸
[00:20:49.000 --> 00:20:51.000]  靠著爸爸
[00:20:51.000 --> 00:20:53.000]  去過我們每一天的生活
[00:20:53.000 --> 00:20:55.000]  我相信耶穌想我們是這樣的
[00:20:55.000 --> 00:20:57.000]  今天第三個重點
[00:20:57.000 --> 00:20:59.000]  突破常規
[00:20:59.000 --> 00:21:01.000]  在十章十六節
[00:21:01.000 --> 00:21:03.000]  「於是抱著小孩子
[00:21:03.000 --> 00:21:04.000]  給他們按手
[00:21:04.000 --> 00:21:06.000]  為他們祝福」
[00:21:06.000 --> 00:21:09.000]  第十六節正正回應第十三節
[00:21:09.000 --> 00:21:12.000]  這些人帶著小孩子來見耶穌
[00:21:12.000 --> 00:21:14.000]  很想得到耶穌的祝福
[00:21:14.000 --> 00:21:17.000]  但門徒竟然阻攔
[00:21:17.000 --> 00:21:22.000]  耶穌正正是很想拆走門徒的觀念
[00:21:22.000 --> 00:21:24.000]  這些舊有思想
[00:21:24.000 --> 00:21:26.000]  他覺得社會的人看人
[00:21:26.000 --> 00:21:27.000]  是看人的價值
[00:21:27.000 --> 00:21:29.000]  但耶穌看人
[00:21:29.000 --> 00:21:31.000]  他不在乎人的身份
[00:21:31.000 --> 00:21:33.000]  不在乎人的地位
[00:21:33.000 --> 00:21:35.000]  不在乎人的高低
[00:21:35.000 --> 00:21:37.000]  耶穌親手去抱著
[00:21:37.000 --> 00:21:39.000]  祝福這些小孩
[00:21:39.000 --> 00:21:41.000]  耶穌突破常規
[00:21:41.000 --> 00:21:43.000]  去示範給門徒看到
[00:21:43.000 --> 00:21:45.000]  他如何去靠近
[00:21:45.000 --> 00:21:47.000]  去愛這群人
[00:21:47.000 --> 00:21:49.000]  去擁抱這群人
[00:21:49.000 --> 00:21:51.000]  門徒見到神的愛
[00:21:51.000 --> 00:21:53.000]  是最重要的
[00:21:53.000 --> 00:21:54.000]  我們也是
[00:21:54.000 --> 00:21:56.000]  我們見到神的愛
[00:21:56.000 --> 00:21:57.000]  是最重要的
[00:21:57.000 --> 00:21:59.000]  另外古時猶太的教育
[00:21:59.000 --> 00:22:01.000]  一群小孩的宗教信仰
[00:22:01.000 --> 00:22:04.000]  是經父母傳遞給他們
[00:22:04.000 --> 00:22:06.000]  他們的父母有責任
[00:22:06.000 --> 00:22:08.000]  將猶太經典和猶太律法
[00:22:08.000 --> 00:22:10.000]  教給一群子女
[00:22:10.000 --> 00:22:12.000]  從小就開始
[00:22:12.000 --> 00:22:15.000]  讓他們明白猶太的信仰和傳統
[00:22:15.000 --> 00:22:17.000]  耶穌突破常規
[00:22:17.000 --> 00:22:20.000]  第一身去到小孩那裡
[00:22:20.000 --> 00:22:21.000]  去抱他們
[00:22:21.000 --> 00:22:22.000]  按手
[00:22:22.000 --> 00:22:23.000]  祝福
[00:22:23.000 --> 00:22:25.000]  耶穌突破了所有的隔膜
[00:22:25.000 --> 00:22:27.000]  讓當時的小朋友
[00:22:27.000 --> 00:22:28.000]  小孩子
[00:22:28.000 --> 00:22:29.000]  當時的人
[00:22:29.000 --> 00:22:32.000]  能夠經歷到耶穌
[00:22:32.000 --> 00:22:34.000]  抱著小孩子
[00:22:34.000 --> 00:22:36.000]  讓小孩子得到祝福
[00:22:36.000 --> 00:22:37.000]  弟兄姊妹
[00:22:37.000 --> 00:22:39.000]  今天在香港教會
[00:22:39.000 --> 00:22:42.000]  我們經歷了很長時間的疫情
[00:22:42.000 --> 00:22:43.000]  好像很多事情
[00:22:43.000 --> 00:22:45.000]  我們需要轉變
[00:22:45.000 --> 00:22:46.000]  實體崇拜
[00:22:46.000 --> 00:22:48.000]  變為網上崇拜
[00:22:48.000 --> 00:22:50.000]  所有團契主日學
[00:22:50.000 --> 00:22:52.000]  都變成網上
[00:22:52.000 --> 00:22:54.000]  我們弟兄姊妹見面少了
[00:22:54.000 --> 00:22:57.000]  見面模式也不同了
[00:22:57.000 --> 00:22:59.000]  我們的關係好像變軟了
[00:22:59.000 --> 00:23:01.000]  疏離了很多
[00:23:01.000 --> 00:23:03.000]  但是又好像變近了
[00:23:03.000 --> 00:23:05.000]  因為Zoom的緣故
[00:23:05.000 --> 00:23:07.000]  很多事情
[00:23:07.000 --> 00:23:09.000]  很需要我們去轉變和改變
[00:23:09.000 --> 00:23:11.000]  所以我們弟兄姊妹
[00:23:11.000 --> 00:23:12.000]  常處於一個迷惘
[00:23:12.000 --> 00:23:14.000]  很不穩定的狀態
[00:23:14.000 --> 00:23:17.000]  都不知道明天會發生什麼事
[00:23:17.000 --> 00:23:18.000]  弟兄姊妹
[00:23:18.000 --> 00:23:20.000]  我是兒童部的童工
[00:23:20.000 --> 00:23:22.000]  有時候我在想
[00:23:22.000 --> 00:23:24.000]  兒童主日學的模式
[00:23:24.000 --> 00:23:26.000]  兒童模型的發展
[00:23:26.000 --> 00:23:28.000]  小孩如何成長
[00:23:28.000 --> 00:23:29.000]  家庭教育
[00:23:29.000 --> 00:23:30.000]  子女關係
[00:23:30.000 --> 00:23:32.000]  我們也在因應
[00:23:32.000 --> 00:23:33.000]  整個社會
[00:23:33.000 --> 00:23:35.000]  我們急於
[00:23:35.000 --> 00:23:37.000]  一起去轉變
[00:23:37.000 --> 00:23:39.000]  我們要繼續跑下去
[00:23:39.000 --> 00:23:41.000]  我們不跑下去好像不行了
[00:23:41.000 --> 00:23:43.000]  停不下來
[00:23:43.000 --> 00:23:45.000]  但耶穌
[00:23:45.000 --> 00:23:46.000]  在這段經文
[00:23:46.000 --> 00:23:48.000]  讓我們學習到
[00:23:48.000 --> 00:23:50.000]  祂是三維一體的神
[00:23:50.000 --> 00:23:52.000]  祂是不變的神
[00:23:52.000 --> 00:23:55.000]  環境讓我們
[00:23:55.000 --> 00:23:57.000]  必須要轉變
[00:23:57.000 --> 00:23:59.000]  但我們的信仰
[00:23:59.000 --> 00:24:01.000]  是不變的
[00:24:01.000 --> 00:24:04.000]  耶穌親自帶領我們
[00:24:04.000 --> 00:24:07.000]  去回復原本的關係
[00:24:07.000 --> 00:24:09.000]  不變的是
[00:24:09.000 --> 00:24:11.000]  耶穌親手抱著我們
[00:24:11.000 --> 00:24:14.000]  不變的是耶穌的接納
[00:24:14.000 --> 00:24:16.000]  不變的是神的愛
[00:24:16.000 --> 00:24:17.000]  弟兄姊妹
[00:24:17.000 --> 00:24:19.000]  我想再說一次
[00:24:19.000 --> 00:24:22.000]  不變的是耶穌的擁抱
[00:24:22.000 --> 00:24:24.000]  不變的是耶穌的接納
[00:24:24.000 --> 00:24:27.000]  不變的是耶穌對我們
[00:24:27.000 --> 00:24:29.000]  每一個弟兄姊妹的愛
[00:24:29.000 --> 00:24:31.000]  弟兄姊妹
[00:24:31.000 --> 00:24:32.000]  我相信
[00:24:32.000 --> 00:24:34.000]  今天在座的你們
[00:24:34.000 --> 00:24:36.000]  和我一樣
[00:24:36.000 --> 00:24:38.000]  我都很關心我們的子女
[00:24:38.000 --> 00:24:40.000]  我們教會的子女
[00:24:40.000 --> 00:24:42.000]  我們都很想
[00:24:42.000 --> 00:24:44.000]  第一身
[00:24:44.000 --> 00:24:46.000]  去經歷這個信仰
[00:24:46.000 --> 00:24:48.000]  我們祈禱
[00:24:48.000 --> 00:24:49.000]  我們讀神的話語
[00:24:49.000 --> 00:24:51.000]  我們彼此牧養
[00:24:51.000 --> 00:24:52.000]  這是不變的
[00:24:52.000 --> 00:24:54.000]  今天最後總結
[00:24:54.000 --> 00:24:56.000]  讓孩子與主相遇
[00:24:56.000 --> 00:24:59.000]  第一
[00:24:59.000 --> 00:25:01.000]  我們很願意
[00:25:01.000 --> 00:25:03.000]  去祝福一群兒童
[00:25:03.000 --> 00:25:06.000]  很想牧養下一代
[00:25:06.000 --> 00:25:08.000]  我們不要好心做壞事
[00:25:08.000 --> 00:25:09.000]  第二
[00:25:09.000 --> 00:25:11.000]  耶穌氣他是有利的
[00:25:11.000 --> 00:25:13.000]  不過祂提醒我們弟兄姊妹
[00:25:13.000 --> 00:25:15.000]  我們要有一個小孩子的
[00:25:15.000 --> 00:25:16.000]  謙卑
[00:25:16.000 --> 00:25:17.000]  倚靠的心
[00:25:17.000 --> 00:25:18.000]  第三
[00:25:18.000 --> 00:25:20.000]  突破常規
[00:25:20.000 --> 00:25:23.000]  很多事情都在轉變
[00:25:23.000 --> 00:25:25.000]  很多事情都在改變
[00:25:25.000 --> 00:25:27.000]  不過不變的是
[00:25:27.000 --> 00:25:28.000]  耶穌的愛
[00:25:28.000 --> 00:25:29.000]  耶穌的接納
[00:25:29.000 --> 00:25:31.000]  弟兄姊妹你為我們祈禱
[00:25:31.000 --> 00:25:33.000]  我們真的很想
[00:25:33.000 --> 00:25:35.000]  去牧養下一代
[00:25:35.000 --> 00:25:38.000]  很想一群年青人
[00:25:38.000 --> 00:25:39.000]  他們復興
[00:25:39.000 --> 00:25:41.000]  他們在教會裏
[00:25:41.000 --> 00:25:43.000]  能夠經歷主的愛
[00:25:43.000 --> 00:25:44.000]  弟兄姊妹
[00:25:44.000 --> 00:25:46.000]  你作為父母
[00:25:46.000 --> 00:25:48.000]  你今天聽到今天的訊息
[00:25:48.000 --> 00:25:50.000]  你願不願意繼續
[00:25:50.000 --> 00:25:52.000]  承傳他的工作呢?
[00:25:52.000 --> 00:25:54.000]  就算你不是父母
[00:25:54.000 --> 00:25:56.000]  盼望今天的訊息可以鼓勵你
[00:25:56.000 --> 00:25:58.000]  回應天父對你的吩咐
[00:25:58.000 --> 00:26:01.000]  盼望我們每一個弟兄姊妹
[00:26:01.000 --> 00:26:03.000]  都能夠帶我們的子女
[00:26:03.000 --> 00:26:04.000]  我們的孩子
[00:26:04.000 --> 00:26:07.000]  去到耶穌的面前與主相遇
[00:26:07.000 --> 00:26:10.000]  兒童部有一段短片
[00:26:10.000 --> 00:26:12.000]  讓我們一起看
[00:26:12.000 --> 00:26:14.000]  我們兒童牧養的工作
[00:26:14.000 --> 00:26:25.000]  大家好
[00:26:25.000 --> 00:26:27.000]  我是雅歌團體的Steven
[00:26:27.000 --> 00:26:28.000]  我是Celia
[00:26:28.000 --> 00:26:31.000]  我們都是兒童部主日學的新秀導師
[00:26:31.000 --> 00:26:32.000]  計算日子
[00:26:32.000 --> 00:26:33.000]  我們在兒童部
[00:26:33.000 --> 00:26:35.000]  侍奉了大約六至七個月的時間
[00:26:35.000 --> 00:26:38.000]  能夠陪伴著小朋友成長
[00:26:38.000 --> 00:26:39.000]  不單開心
[00:26:39.000 --> 00:26:41.000]  還覺得自己年輕了
[00:26:41.000 --> 00:26:43.000]  最棒的是被小朋友推動
[00:26:43.000 --> 00:26:45.000]  我們與他們一起進步
[00:26:45.000 --> 00:26:46.000]  你是否在說Zoom
[00:26:46.000 --> 00:26:48.000]  這些高科技的東西?
[00:26:48.000 --> 00:26:49.000]  是呀
[00:26:49.000 --> 00:26:50.000]  原來P1的小朋友
[00:26:50.000 --> 00:26:52.000]  用Zoom已經很厲害了
[00:26:52.000 --> 00:26:53.000]  是呀
[00:26:53.000 --> 00:26:54.000]  見到我一班K2的小朋友
[00:26:54.000 --> 00:26:55.000]  這麼活潑可愛
[00:26:55.000 --> 00:26:57.000]  連自己也充滿力量
[00:26:57.000 --> 00:26:59.000]  忘記所有工作的煩惱
[00:26:59.000 --> 00:27:01.000]  我最感動的是
[00:27:01.000 --> 00:27:03.000]  見到小朋友很認真地舉手決志
[00:27:03.000 --> 00:27:05.000]  其實他們每一個天真的笑容
[00:27:05.000 --> 00:27:08.000]  認真的點頭都很受鼓勵
[00:27:08.000 --> 00:27:10.000]  當自己侍奉別人的時候
[00:27:10.000 --> 00:27:12.000]  其實自己也同樣地祝福
[00:27:12.000 --> 00:27:13.000]  非常同意
[00:27:13.000 --> 00:27:16.000]  連K2的小朋友都不想停主日學
[00:27:16.000 --> 00:27:17.000]  作為導師的我們
[00:27:17.000 --> 00:27:19.000]  就要更加努力了
[00:27:19.000 --> 00:27:22.000]  能夠侍奉小朋友確實是恩典
[00:27:22.000 --> 00:27:23.000]  如果你有感動
[00:27:23.000 --> 00:27:24.000]  或者有心參與
[00:27:24.000 --> 00:27:26.000]  兒童部的侍奉
[00:27:26.000 --> 00:27:27.000]  就馬上報名了
[00:27:27.000 --> 00:27:29.000]  不用擔心自己做不到
[00:27:29.000 --> 00:27:31.000]  因為兒童部的童工
[00:27:31.000 --> 00:27:33.000]  不單會提供適切的訓練
[00:27:33.000 --> 00:27:35.000]  還有很全面的教材
[00:27:35.000 --> 00:27:36.000]  最重要是常會在當中
[00:27:36.000 --> 00:27:38.000]  與我們一起作供
[00:27:38.000 --> 00:27:40.000]  期待在兒童部見到你
[00:27:40.000 --> 00:27:45.000]  大家好
[00:27:45.000 --> 00:27:47.000]  我是抗賴團的Katia
[00:27:47.000 --> 00:27:49.000]  我是牙哥團隊的Dora
[00:27:49.000 --> 00:27:50.000]  Katia,原來我們一起
[00:27:50.000 --> 00:27:51.000]  不經不覺在兒童部侍奉
[00:27:51.000 --> 00:27:52.000]  已經有八年了
[00:27:52.000 --> 00:27:55.000]  有什麼原因吸引你侍奉這麼長時間呢?
[00:27:55.000 --> 00:27:58.000]  首先,神讓我在兒童部侍奉
[00:27:58.000 --> 00:28:01.000]  讓我與小朋友一起成長
[00:28:01.000 --> 00:28:04.000]  好像最近我們說到禱告初戀的時候
[00:28:04.000 --> 00:28:05.000]  當我告訴小朋友
[00:28:05.000 --> 00:28:07.000]  我怎樣經歷神
[00:28:07.000 --> 00:28:09.000]  和神怎樣教導我
[00:28:09.000 --> 00:28:11.000]  小朋友都有正面的回應
[00:28:11.000 --> 00:28:14.000]  令我深信聖經的教導和分享
[00:28:14.000 --> 00:28:17.000]  對小朋友的黎明成長很重要
[00:28:17.000 --> 00:28:18.000]  Dora,你呢?
[00:28:18.000 --> 00:28:19.000]  我加入兒童部侍奉
[00:28:19.000 --> 00:28:21.000]  是因為我喜歡小朋友
[00:28:21.000 --> 00:28:23.000]  和要回應神對我的愛
[00:28:23.000 --> 00:28:25.000]  而且透過兒童教學的侍奉
[00:28:25.000 --> 00:28:27.000]  我能夠重新炒神的話語
[00:28:27.000 --> 00:28:28.000]  溫故知新
[00:28:28.000 --> 00:28:31.000]  使我與神的關係變得更加親密和美好
[00:28:31.000 --> 00:28:33.000]  另外當然不能缺少
[00:28:33.000 --> 00:28:35.000]  就是神讓我在侍奉中認識你這位好拍檔
[00:28:35.000 --> 00:28:36.000]  好姐妹
[00:28:36.000 --> 00:28:38.000]  可以互相支持和代禱
[00:28:38.000 --> 00:28:40.000]  今年九月
[00:28:40.000 --> 00:28:43.000]  我會與6A班的小朋友一起升上聽笑部
[00:28:43.000 --> 00:28:46.000]  所以我在此與Katia誠意鼓勵
[00:28:46.000 --> 00:28:49.000]  和邀請弟兄姐妹們加入兒童部侍奉
[00:28:49.000 --> 00:28:51.000]  陪伴恩福堂的下一代成長
[00:28:51.000 --> 00:28:53.000]  薰火相傳
[00:28:53.000 --> 00:28:55.000]  兒童部需要你
[00:28:55.000 --> 00:29:07.000]  期待你
[00:29:07.000 --> 00:29:15.000]  祝福我們
[00:29:15.000 --> 00:29:25.000]  一切應聖神
[00:29:25.000 --> 00:29:31.000]  弟兄姊妹們不如給點掌聲
[00:29:31.000 --> 00:29:33.000]  耶~
[00:29:33.000 --> 00:29:36.000]  弟兄姊妹們不需要擔心
[00:29:36.000 --> 00:29:38.000]  最重要是我們有負擔
[00:29:38.000 --> 00:29:40.000]  聽完今天的訊息
[00:29:40.000 --> 00:29:43.000]  鼓勵你回應神的呼召
[00:29:43.000 --> 00:29:45.000]  如果你有負擔的話
[00:29:45.000 --> 00:29:47.000]  加入我們一起牧養一班兒童
[00:29:47.000 --> 00:29:49.000]  讓他們來到主的面前
[00:29:49.000 --> 00:29:51.000]  頂尖我們一起祈禱
[00:29:51.000 --> 00:29:56.000]  天父我們很感謝你
[00:29:56.000 --> 00:29:58.000]  讓我們今早的早上
[00:29:58.000 --> 00:30:00.000]  能夠聽你的說話
[00:30:00.000 --> 00:30:02.000]  聽你的聲音
[00:30:02.000 --> 00:30:05.000]  讓我們有一個謙卑而依靠的心
[00:30:05.000 --> 00:30:07.000]  就像小朋友一樣
[00:30:07.000 --> 00:30:09.000]  去依靠你
[00:30:09.000 --> 00:30:12.000]  天父求你賜我們生命
[00:30:12.000 --> 00:30:14.000]  求你讓我們親近你
[00:30:14.000 --> 00:30:18.000]  讓我們能夠到你面前去依靠你
[00:30:18.000 --> 00:30:20.000]  也讓我們每一個弟兄姊妹
[00:30:20.000 --> 00:30:22.000]  都有牧養兒童的心
[00:30:22.000 --> 00:30:24.000]  讓我們單單去依靠你
[00:30:24.000 --> 00:30:26.000]  我們不需要擔心
[00:30:26.000 --> 00:30:27.000]  我們靠你就可以了
[00:30:27.000 --> 00:30:29.000]  天父求你幫助我們
[00:30:29.000 --> 00:30:31.000]  讓我們經歷天父你的同在
[00:30:31.000 --> 00:30:32.000]  你的帶領
[00:30:32.000 --> 00:30:35.000]  因為天父你臨在我們生命當中
[00:30:35.000 --> 00:30:36.000]  我們獻上感恩
[00:30:36.000 --> 00:30:37.000]  禱告交託
[00:30:37.000 --> 00:30:39.000]  奉主耶穌基督的名求
[00:30:39.000 --> 00:30:40.000]  阿門
[00:30:40.000 --> 00:30:40.500]  好
[00:30:40.500 --> 00:30:42.500]  謝謝大家收看,下次見!

