
[00:00:00.000 --> 00:00:07.720]   With the fullness of Him who fills everything in every way be upon us for the glory of Jesus
[00:26:14.160 --> 00:26:20.040]   Well, yeah, what about these stones? Yeah, they are burnout. Yeah, I don't know. I mean, I don't even know if we can do this
[00:26:20.040 --> 00:26:24.080]   I don't even know the resources there. This is what ridicule will do to you
[00:26:24.080 --> 00:26:28.360]   it'll cause you to doubt everything God has already said to you and
[00:26:28.360 --> 00:26:32.480]   It's right there at the start to stop that process
[00:26:32.480 --> 00:26:36.000]   So, let me let me pull all the threads together this first one and let me read it to you like this
[00:26:36.000 --> 00:26:37.840]   I want to I want to just make this clear
[00:26:37.840 --> 00:26:45.040]   Ridicule is designed to make us doubt that we have the physical mental or spiritual ability to achieve the transformation
[00:26:45.040 --> 00:26:48.840]   God longs for us if we don't fight this ridicule
[00:26:48.840 --> 00:26:56.440]   We will agree with the enemy that our transformation is too large to be accomplished and we don't have the right resources to achieve it
[00:26:56.440 --> 00:27:00.320]   And because of that
[00:27:00.320 --> 00:27:03.440]   We choose to stay in ruins
[00:27:04.840 --> 00:27:09.640]   The second opposition that will come to you in any season of personal transformation
[00:27:09.640 --> 00:27:17.080]   Which often happens in the middle of that transformation process is the opposition of feeling overwhelmed. I
[00:27:17.080 --> 00:27:21.800]   Watched the movie last night with my daughter and there was a line in the movie
[00:27:21.800 --> 00:27:28.240]   It was like you can be overwhelmed and you can be underwhelmed. But can you just be whelmed?
[00:27:28.240 --> 00:27:34.040]   If you know the movie you get an extra star, okay
[00:27:34.720 --> 00:27:39.040]   But this idea when we're in the middle of a transformation process
[00:27:39.040 --> 00:27:44.520]   This is where things can get really challenging for us because we've already done some work. We've already strengthened something
[00:27:44.520 --> 00:27:49.800]   But now we're in the middle of it. We're feeling a little bit tired and we're wondering can we keep going?
[00:27:49.800 --> 00:27:54.080]   Let me show you this from Nehemiah 4 just verse 6 onwards
[00:27:54.080 --> 00:28:00.760]   Nehemiah says so we rebuilt the wall to all of it reached about half of its height for the people worked with all of their
[00:28:00.760 --> 00:28:04.560]   Hearts, so they're halfway done. It's reached half of its height
[00:28:04.560 --> 00:28:06.600]   But when Sambalat there is again
[00:28:06.600 --> 00:28:13.800]   Tobiah and the Arabs and the Ammonites and the men of Ashod heard that the repairs of Jerusalem's wall had gone ahead and that there
[00:28:13.800 --> 00:28:17.480]   Were gaps being closed. They were very angry
[00:28:17.480 --> 00:28:22.680]   They all plotted together to come and fight against Jerusalem to stir up trouble against it
[00:28:22.680 --> 00:28:26.440]   But we prayed to our God and posted a guard day and night to meet this threat
[00:28:27.120 --> 00:28:34.440]   Meanwhile, the people in Judah said the strength of the laborers is giving out and there is so much rubble that we cannot
[00:28:34.440 --> 00:28:39.120]   Rebuild the wall. Also our enemy said before they know it or see us
[00:28:39.120 --> 00:28:43.280]   We will be right there among them and we will kill them and put an end to the work
[00:28:43.280 --> 00:28:50.160]   Then the Jews who lived near the wall, they came and told us ten times over wherever you turn
[00:28:50.160 --> 00:28:52.280]   They will attack us
[00:28:52.280 --> 00:28:55.120]   All right. I want you to see what's happening here
[00:28:55.760 --> 00:28:58.760]   In the middle of the process the armies and the enemies
[00:28:58.760 --> 00:29:06.280]   Against Israel and the rebuilding the wall decide for a full frontal attack on Israel and they decide to surround Israel
[00:29:06.280 --> 00:29:09.080]   Samaria from the north
[00:29:09.080 --> 00:29:13.840]   Yamanites from the east the Arabians from the south the people of Ashod from the west
[00:29:13.840 --> 00:29:19.600]   they're coming in and they're closing in on God's people and they're closing in with the threat of
[00:29:19.960 --> 00:29:27.120]   physical attack with the threat of actually trying to stop them physically from rebuilding the wall and we can see what this just
[00:29:27.120 --> 00:29:31.400]   Threat of being surrounded is doing to God's people notice
[00:29:31.400 --> 00:29:34.800]   They say this the strength of the laborers is giving out
[00:29:34.800 --> 00:29:38.680]   Wherever you turn they're going to attack us
[00:29:38.680 --> 00:29:44.620]   There's fear being risen up within Israel because they're feeling kind of
[00:29:45.360 --> 00:29:50.040]   Surrounded by attack on all sides the feeling of being
[00:29:50.040 --> 00:29:57.360]   Overwhelmed is one of the primary ways that the enemy will try to get you to stop your transformation process
[00:29:57.360 --> 00:29:59.480]   Right in the middle of it. I
[00:29:59.480 --> 00:30:02.440]   wonder if you've ever had an experience where you feel like
[00:30:02.440 --> 00:30:07.940]   Everything is all around you hemming you in and you feel like there's no escape and you don't know what to do
[00:30:07.940 --> 00:30:09.940]   Anyone ever felt that way?
[00:30:09.940 --> 00:30:12.320]   Just me and you
[00:30:13.680 --> 00:30:15.680]   You go brother
[00:30:15.680 --> 00:30:20.800]   Everybody else does as well, but they just won't admit it
[00:30:20.800 --> 00:30:21.360]   Okay
[00:30:21.360 --> 00:30:27.760]   So we all know that feeling that we are being hemmed in all around by everything coming against us at the same time and us
[00:30:27.760 --> 00:30:32.760]   Feeling so overwhelmed and here's what the feeling will do like this strength will be
[00:30:32.760 --> 00:30:37.880]   Sapped from us for the work that we have we will fear that will be attacked all the time
[00:30:37.880 --> 00:30:41.040]   And so what we want to do is move away from that project
[00:30:41.040 --> 00:30:45.520]   It's a fight-or-flight type thing and we choose flight every time
[00:30:45.520 --> 00:30:53.680]   We want to turn around turn away protect ourselves because the attack is coming from all around us
[00:30:53.680 --> 00:30:59.180]   Now this is the reason why this happens in the middle of the process listen to this
[00:30:59.180 --> 00:31:04.980]   My wife has this thing called caterpillar soup. She's a counselor. This is a counseling term. Apparently. Well, he's hers
[00:31:05.140 --> 00:31:10.860]   Let me explain when a caterpillar is in the process of the chrysalis to turn into a butterfly
[00:31:10.860 --> 00:31:19.180]   The caterpillar gets to the middle space where it's no longer recognizable as a caterpillar, but it is not yet a beautiful butterfly
[00:31:19.180 --> 00:31:23.020]   This is the middle of the change and at this point
[00:31:23.020 --> 00:31:25.540]   Scientists call it caterpillar soup
[00:31:25.540 --> 00:31:27.620]   The old is gone
[00:31:27.620 --> 00:31:33.780]   But the new has not yet come and when we're in that place the caterpillar is the most vulnerable
[00:31:34.540 --> 00:31:40.620]   And when we're in a place in the middle of a transformation process, we might get to a situation where our old self
[00:31:40.620 --> 00:31:42.620]   We've actually begun to deal with some stuff
[00:31:42.620 --> 00:31:45.260]   God's convicted us. We brought our sin to him
[00:31:45.260 --> 00:31:48.300]   We feel like we're being liberated from some of that old stuff
[00:31:48.300 --> 00:31:55.060]   But we recognize that our new stuff is not yet here and we're in this middle and it's there that the enemy will attack us
[00:31:55.060 --> 00:31:57.060]   And make us feel overwhelmed
[00:31:57.060 --> 00:31:59.500]   Notice how it says it here
[00:31:59.620 --> 00:32:06.100]   They actually say this the people had lost their strength and there's so much rubble that we cannot rebuild the wall
[00:32:06.100 --> 00:32:10.780]   Notice this. I think this is funny. They say there's so much rubble
[00:32:10.780 --> 00:32:15.620]   How could we ever do this and you could just stand back from a logical perspective and say hang on a sec
[00:32:15.620 --> 00:32:17.620]   There's 50% less rubble
[00:32:17.620 --> 00:32:24.440]   Then when you started because when you were started it was all rubble, but you've now rebuilt half of the wall
[00:32:24.440 --> 00:32:28.020]   So literally logically there's 50% less
[00:32:28.820 --> 00:32:35.140]   But when we're in that caterpillar suit moment and we're we've let go but we haven't yet fully been changed
[00:32:35.140 --> 00:32:42.380]   We find ourselves in that vulnerable place where everything feels like it's coming in upon us and we'll begin to look at what is still
[00:32:42.380 --> 00:32:46.460]   Around us and we're like there's so much still to be done. I
[00:32:46.460 --> 00:32:52.340]   Can't do it. I mean, I'm I'm exhausted already and I'm only halfway through
[00:32:52.340 --> 00:32:57.900]   Do you really think I can do this? There's so much rubble still here
[00:32:58.900 --> 00:33:00.900]   That's the enemy strategy
[00:33:00.900 --> 00:33:06.740]   to cause you in that middle moment to see all the things that are to come and
[00:33:06.740 --> 00:33:09.260]   Say you'll never get there
[00:33:09.260 --> 00:33:15.020]   It's not gonna happen for you. You may as well put the tools down now
[00:33:15.020 --> 00:33:21.640]   The third opposition that will come to you in any season of personal transformation
[00:33:21.640 --> 00:33:27.140]   Usually at the end of that season is the opposition of compromise
[00:33:27.620 --> 00:33:30.700]   Let me read this to you from Nehemiah chapter 6 starting in verse 1
[00:33:30.700 --> 00:33:34.540]   when the word came to Sambalat, Tobiah, Geshem
[00:33:34.540 --> 00:33:40.940]   And the Arabs and the rest of our enemies that I had rebuilt the wall and not a gap was left in it
[00:33:40.940 --> 00:33:45.020]   Though up to that time I had not yet set the doors in the gates
[00:33:45.020 --> 00:33:50.860]   Now notice this, so they have now almost completed the project all the walls have been constructed
[00:33:50.860 --> 00:33:55.420]   But the gates and there were many gates around the old walls of Jerusalem were not yet set in place
[00:33:55.460 --> 00:33:57.460]   So the project's not done yet
[00:33:57.460 --> 00:34:00.820]   But it's right towards the end. It's like he's been running a marathon
[00:34:00.820 --> 00:34:05.380]   He's entered into the stadium, but he's still got two laps. Are you with me?
[00:34:05.380 --> 00:34:10.260]   And then he says this he says Sambalat and Geshem sent me this message
[00:34:10.260 --> 00:34:17.020]   Come let us meet together in one of the villages on the plain of Ohno
[00:34:17.020 --> 00:34:20.380]   Notice this
[00:34:20.380 --> 00:34:27.940]   Right at the end of the projects the enemies come with their final opposition and here's the opposition. Hey, just come
[00:34:27.940 --> 00:34:32.100]   Come with us to the villages on the plains of Ohno
[00:34:32.100 --> 00:34:36.860]   The modern equivalent of this would be like right towards the end of an important project
[00:34:36.860 --> 00:34:41.580]   Where you need to be there leading that project whether that's a transformation you or something at work
[00:34:41.580 --> 00:34:47.180]   And then somebody comes to you and says hey, why don't we just escape for a little while to the beaches of Bali?
[00:34:47.900 --> 00:34:53.500]   Why don't we just get away? Oh you've worked so hard you tried your best
[00:34:53.500 --> 00:35:00.700]   Look, you've actually accomplished so much. Why don't you just you know put the tools down you deserve it
[00:35:00.700 --> 00:35:06.700]   You've worked hard. Why don't you just look after yourself a little bit man? You've been giving to everyone
[00:35:06.700 --> 00:35:12.700]   Now's the time to give to yourself. Let's just retreat to the plains of Ohno
[00:35:13.700 --> 00:35:18.700]   Plains of Ohno were about a whole day's journey north from Jerusalem
[00:35:18.700 --> 00:35:25.700]   In fact it would, this is Sambalat speaking, have placed if Nehemiah had gone placed him very close to Samaria itself
[00:35:25.700 --> 00:35:30.700]   And to the power of the armies there. Nehemiah actually discerns that that was their strategy
[00:35:30.700 --> 00:35:35.700]   But Ohno is this fascinating place. It was a beautiful plain many villages were there
[00:35:35.700 --> 00:35:39.700]   And these were relatively wealthy villages in those days
[00:35:39.700 --> 00:35:44.700]   It was actually a craftsman's village. So it's very likely that some of the builders of the wall
[00:35:44.700 --> 00:35:49.700]   Some of the craftsmen at the temple were from these villages in the plain of Ohno
[00:35:49.700 --> 00:35:55.700]   What Sambalat's trying to do is to say hey look you deserve to look after yourself a little bit
[00:35:55.700 --> 00:35:59.700]   You deserve to give to yourself. Man you've been working on behalf of everybody else
[00:35:59.700 --> 00:36:03.700]   You've been working on behalf of your God. Just put your tools down right before the end
[00:36:03.700 --> 00:36:07.700]   Why don't you just come and it'll be like somebody standing in the middle of the desert
[00:36:07.700 --> 00:36:11.700]   And it'll be like somebody standing in that stadium and shouting to the marathon runner
[00:36:11.700 --> 00:36:16.700]   You've done great. You've run so far. Look just come and sit here for a moment
[00:36:16.700 --> 00:36:22.700]   Like two more laps around and you're done. But no, no, no, just come sit down for a minute
[00:36:22.700 --> 00:36:25.700]   Why don't you just rest? Let everybody else run by you. Let's just rest for a bit
[00:36:25.700 --> 00:36:30.700]   You must, you've earned your rest. Well done my good and faithful servant
[00:36:30.700 --> 00:36:35.700]   The power of compromise right towards the end of it. Here's what it's designed to do
[00:36:35.700 --> 00:36:40.700]   It's designed to make you settle for three quarters of your transformation
[00:36:40.700 --> 00:36:45.700]   See God starts you out on a process of transformation and he has a picture in mind
[00:36:45.700 --> 00:36:49.700]   Of who he's desiring for you to be. And sometimes he gives us the idea of what that is
[00:36:49.700 --> 00:36:54.700]   And we're like wow could I ever be like that? Could that rubble ever be restored like that?
[00:36:54.700 --> 00:36:58.700]   And here's the temptation and the opposition of compromise as we enter into that stadium
[00:36:58.700 --> 00:37:02.700]   We want to take that seat and not complete the two laps because here's what we're thinking
[00:37:02.700 --> 00:37:07.700]   I'm okay with three quarters. I mean have you seen who I am?
[00:37:07.700 --> 00:37:12.700]   I'm not the person I used to be a few months ago. I mean God's already done so much in me
[00:37:12.700 --> 00:37:17.700]   God's already transformed so much. It was hard work. I had to pray about it
[00:37:17.700 --> 00:37:20.700]   I had to fight all that opposition. I went into therapy. It was difficult
[00:37:20.700 --> 00:37:25.700]   Look, I know I'm only three quarters changed but a three quarter changed me
[00:37:25.700 --> 00:37:30.700]   Is better than the me two months ago. And so the temptation that we have
[00:37:30.700 --> 00:37:35.700]   Is to say three quarters of what God wants is enough
[00:37:35.700 --> 00:37:43.700]   The enemy loves for you to settle just short of full redemption
[00:37:43.700 --> 00:37:50.700]   Full restoration, full healing, full life because he knows if he can get you to stop at three quarters
[00:37:50.700 --> 00:37:53.700]   Then after a while that's going to become 50%
[00:37:53.700 --> 00:37:55.700]   And after a while that's going to become a quarter
[00:37:55.700 --> 00:38:01.700]   And then just a few years later you're back to where you began
[00:38:01.700 --> 00:38:06.700]   That compromise is so a wrestle for us
[00:38:06.700 --> 00:38:12.700]   Here's an interesting thing. The word "ono" actually means grief
[00:38:12.700 --> 00:38:19.700]   Which is really quite fascinating because anytime you leave a place where God wants you to be
[00:38:19.700 --> 00:38:25.700]   To go where Satan wants you to go, you'll always end up in a place of grief
[00:38:25.700 --> 00:38:31.700]   Whenever you make that decision, I'm going to deviate from the place that I know God has asked me to be in
[00:38:31.700 --> 00:38:35.700]   And God is calling me to be in and the work that God is calling into my hands to do
[00:38:35.700 --> 00:38:42.700]   And I'm going to deviate from that. You're going to end up in a place of grief
[00:38:42.700 --> 00:38:47.700]   So these three oppositions, the opposition of ridicule right at the start
[00:38:47.700 --> 00:38:50.700]   The opposition of being overwhelmed in the middle
[00:38:50.700 --> 00:38:54.700]   And the opposition of compromise at the end come together to try to hold us back
[00:38:54.700 --> 00:38:57.700]   And the question is, what can we do?
[00:38:57.700 --> 00:39:00.700]   Knowing that the Lord is not going to remove these oppositions for us
[00:39:00.700 --> 00:39:02.700]   What can we do when they come?
[00:39:02.700 --> 00:39:08.700]   What is the strategy that is on God's heart to help us to stand up and steadfast
[00:39:08.700 --> 00:39:10.700]   When these oppositions are with us?
[00:39:10.700 --> 00:39:17.700]   Let me close by taking you to this bit that Nehemiah does right here in chapter 6 verse 9
[00:39:17.700 --> 00:39:24.700]   Nehemiah says, "They were all trying to frighten us, thinking their hands will get too weak for the work
[00:39:24.700 --> 00:39:31.700]   And it will not be completed. But here's what I prayed. Now strengthen my hands."
[00:39:31.700 --> 00:39:35.700]   There's this beautiful moment here because I love the honesty of Nehemiah
[00:39:35.700 --> 00:39:39.700]   He's like, "Man, we went through these oppositions and these oppositions were tough," he says
[00:39:39.700 --> 00:39:44.700]   "And each time that these oppositions came, we were weakened as a people."
[00:39:44.700 --> 00:39:50.700]   And the strategy of these oppositions, Nehemiah is saying, is that they were all designed to put fear in us
[00:39:50.700 --> 00:39:56.700]   So that we would think, mentally begin to think that we cannot in our own strength
[00:39:56.700 --> 00:39:59.700]   Achieve what God has asked us to do
[00:39:59.700 --> 00:40:05.700]   And it's almost like Nehemiah is saying, "You need to understand that you cannot achieve in your own strength
[00:40:05.700 --> 00:40:07.700]   What the Lord has called you to do."
[00:40:07.700 --> 00:40:12.700]   Like, let's just get that clear right here, Nehemiah is saying to his people
[00:40:12.700 --> 00:40:17.700]   You can't, you will never have enough wisdom, never have enough knowledge, never have enough strength
[00:40:17.700 --> 00:40:24.700]   Never have enough whatever, never have enough resources to do yourself what God has asked you to do
[00:40:24.700 --> 00:40:29.700]   That's not the way God works, He doesn't expect you to find all that resource and strength in yourself
[00:40:29.700 --> 00:40:34.700]   In fact, the starting point is to say, "I am a sinner in need of a Savior."
[00:40:34.700 --> 00:40:38.700]   "I am weak, but He is strong."
[00:40:38.700 --> 00:40:43.700]   "I am afraid, but perfect love can cast out my fear."
[00:40:43.700 --> 00:40:47.700]   It is to start in that place of saying, "This is who I am, I know who I am
[00:40:47.700 --> 00:40:53.700]   And as soon as I begin to arrogantly think that I can do this in my own strength, I will fail."
[00:40:53.700 --> 00:40:58.700]   But here's the thing, Nehemiah stands before his people and he says, "Honestly, I'm with you."
[00:40:58.700 --> 00:41:02.700]   "I felt scared, I felt weak throughout this whole process."
[00:41:02.700 --> 00:41:08.700]   But guess what? It's not about our own strength, it's about His equipment, His resource, His knowledge
[00:41:08.700 --> 00:41:12.700]   His beauty, His power, His grace, His strength
[00:41:12.700 --> 00:41:14.700]   So here's what I'm going to pray
[00:41:14.700 --> 00:41:20.700]   I'm going to pray that His strength would come, not my own
[00:41:20.700 --> 00:41:23.700]   His wisdom, not my wisdom
[00:41:23.700 --> 00:41:27.700]   His thoughts, higher than my thoughts
[00:41:27.700 --> 00:41:29.700]   But notice also what Nehemiah prays
[00:41:29.700 --> 00:41:33.700]   He first of all establishes the reality that he's weak and God's strong
[00:41:33.700 --> 00:41:38.700]   And he wants God's strength, but notice this, he says, "But in my hands, Lord."
[00:41:38.700 --> 00:41:45.700]   In other words, he does not pray, "God, strengthen the angels to wipe out the enemies."
[00:41:45.700 --> 00:41:49.700]   He understands that the greatest way to push back Satan
[00:41:49.700 --> 00:41:53.700]   Is to be strengthened for the work that God has called him to do
[00:41:53.700 --> 00:41:55.700]   The number one thing in spiritual warfare
[00:41:55.700 --> 00:41:58.700]   And yes, we need to pray, yes, we need to do all the things that we do in spiritual warfare
[00:41:58.700 --> 00:42:02.700]   The number one thing in spiritual warfare that pushes the enemy back
[00:42:02.700 --> 00:42:05.700]   Is the steadfastness of the body of Christ
[00:42:05.700 --> 00:42:10.700]   To not let go of the work that Christ has called them to
[00:42:10.700 --> 00:42:13.700]   That pushes the gates of hell back more than anything else
[00:42:13.700 --> 00:42:16.700]   And so Nehemiah says, "My hands."
[00:42:16.700 --> 00:42:19.700]   The very things that you've asked to do
[00:42:19.700 --> 00:42:21.700]   The moving of the stones bit by bit
[00:42:21.700 --> 00:42:22.700]   The establishing of the doors
[00:42:22.700 --> 00:42:23.700]   I've got to do that work
[00:42:23.700 --> 00:42:25.700]   You're not going to miraculously do that work for me
[00:42:25.700 --> 00:42:29.700]   But what you can do miraculously is put your strength inside of me
[00:42:29.700 --> 00:42:34.700]   That will change how I think, change how I know, change what I believe about myself
[00:42:34.700 --> 00:42:38.700]   And I will take with my hands and I will pick up those doors and I will finish
[00:42:38.700 --> 00:42:40.700]   I'm not going to sit down two laps before the end
[00:42:40.700 --> 00:42:43.700]   I will cross the finish line
[00:42:43.700 --> 00:42:46.700]   Not in my strength, but in yours
[00:42:46.700 --> 00:42:50.700]   Strengthen my hands
[00:42:50.700 --> 00:42:52.700]   As we finish this series
[00:42:52.700 --> 00:42:55.700]   That's my prayer for every single one of us
[00:42:55.700 --> 00:42:59.700]   God has put in your hands something that only He can accomplish
[00:42:59.700 --> 00:43:02.700]   But He's desiring to accomplish it through you
[00:43:02.700 --> 00:43:04.700]   Every single one of us
[00:43:04.700 --> 00:43:06.700]   In a season of personal transformation
[00:43:06.700 --> 00:43:09.700]   We will be opposed in that season
[00:43:09.700 --> 00:43:12.700]   But you do not need to fear
[00:43:12.700 --> 00:43:14.700]   You have the Spirit of God in you
[00:43:14.700 --> 00:43:16.700]   You have the Word of God before you
[00:43:16.700 --> 00:43:19.700]   You have the community of God around you
[00:43:19.700 --> 00:43:22.700]   Strengthen our hands Lord
[00:43:22.700 --> 00:43:25.700]   Strengthen our hands for everything that you've placed upon us
[00:43:25.700 --> 00:43:28.700]   And may it be for your glory
[00:43:28.700 --> 00:43:30.700]   I wonder whether you could stand with me
[00:43:30.700 --> 00:43:31.700]   I want to pray this
[00:43:31.700 --> 00:43:33.700]   And I'm going to invite the band to come
[00:43:33.700 --> 00:43:34.700]   We're going to take a moment
[00:43:34.700 --> 00:43:37.700]   If this is important to you
[00:43:37.700 --> 00:43:38.700]   If this is important to you
[00:43:38.700 --> 00:43:40.700]   If you're like I'm resonating with the series
[00:43:40.700 --> 00:43:42.700]   I've been resonating with today
[00:43:42.700 --> 00:43:44.700]   There's something in my spirit right now
[00:43:44.700 --> 00:43:45.700]   I've felt ridiculed
[00:43:45.700 --> 00:43:48.700]   Some of you in this room, you're feeling ridiculed already
[00:43:48.700 --> 00:43:50.700]   Some of you in this room, you are feeling
[00:43:50.700 --> 00:43:53.700]   You're in a season of being overwhelmed right now
[00:43:53.700 --> 00:43:56.700]   Some of you are very tempted
[00:43:56.700 --> 00:43:58.700]   To start compromising your vision
[00:43:58.700 --> 00:44:00.700]   Compromising your values
[00:44:00.700 --> 00:44:02.700]   Compromising what the Lord has asked you to do
[00:44:02.700 --> 00:44:04.700]   You've run a great race
[00:44:04.700 --> 00:44:07.700]   But that temptation to compromise is right on you right now
[00:44:07.700 --> 00:44:08.700]   Those three things
[00:44:08.700 --> 00:44:11.700]   Anyone in this room, I want to pray for you
[00:44:11.700 --> 00:44:14.700]   And I want to pray that in the months ahead
[00:44:14.700 --> 00:44:17.700]   As you continue to walk out a season of personal transformation
[00:44:17.700 --> 00:44:19.700]   In your life
[00:44:19.700 --> 00:44:21.700]   That what we've talked about today
[00:44:21.700 --> 00:44:22.700]   And the prayer we're praying now
[00:44:22.700 --> 00:44:24.700]   That you can pray every day
[00:44:24.700 --> 00:44:27.700]   Simple, honest, before the Lord
[00:44:27.700 --> 00:44:29.700]   God in my own strength, I cannot achieve today
[00:44:29.700 --> 00:44:30.700]   What you're asking me to achieve
[00:44:30.700 --> 00:44:34.700]   Would you strengthen my hand?
[00:44:34.700 --> 00:44:36.700]   If you would like that prayer here now
[00:44:36.700 --> 00:44:40.700]   I want to just invite you to open your hands before you
[00:44:40.700 --> 00:44:42.700]   From up top to the back
[00:44:42.700 --> 00:44:44.700]   From anyone who's watching this online right now
[00:44:44.700 --> 00:44:47.700]   Wherever you are
[00:44:47.700 --> 00:44:49.700]   Just open your hands before you
[00:44:49.700 --> 00:44:51.700]   We're a community of Christ
[00:44:51.700 --> 00:44:55.700]   The church where everything has been placed under Jesus' feet
[00:44:55.700 --> 00:44:58.700]   That all authority has been given to Him
[00:44:58.700 --> 00:45:01.700]   For the church, for you
[00:45:01.700 --> 00:45:05.700]   Who have been called as workers into the harvest field
[00:45:05.700 --> 00:45:07.700]   And so we stand before you Lord
[00:45:07.700 --> 00:45:09.700]   Yes, we feel weak at times
[00:45:09.700 --> 00:45:11.700]   Yes, we struggle with fear
[00:45:11.700 --> 00:45:13.700]   Yes, we don't know sometimes
[00:45:13.700 --> 00:45:14.700]   Whether we can do it
[00:45:14.700 --> 00:45:15.700]   Whether it's going to work out
[00:45:15.700 --> 00:45:18.700]   But Lord, we stand before you as people
[00:45:18.700 --> 00:45:20.700]   Who are called by a purpose
[00:45:20.700 --> 00:45:22.700]   People who are called by a vision
[00:45:22.700 --> 00:45:25.700]   People who are called by a God
[00:45:25.700 --> 00:45:27.700]   Who has everything under His feet
[00:45:27.700 --> 00:45:29.700]   And so as our hands are open before you now
[00:45:29.700 --> 00:45:33.700]   We say Lord, strengthen our hands
[00:45:33.700 --> 00:45:35.700]   Strengthen our hands
[00:45:35.700 --> 00:45:37.700]   Your strength in us
[00:45:37.700 --> 00:45:39.700]   Your strength in our vision
[00:45:39.700 --> 00:45:41.700]   Your strength in these values
[00:45:41.700 --> 00:45:44.700]   Your strength in the work that you've placed before me
[00:45:44.700 --> 00:45:47.700]   I want to just invite you to begin to pray that yourself
[00:45:47.700 --> 00:45:49.700]   Just begin to say Lord
[00:45:49.700 --> 00:45:52.700]   I ask you to strengthen my hands right now
[00:45:52.700 --> 00:45:54.700]   Some of you just need to confess right now
[00:45:54.700 --> 00:45:56.700]   I cannot do this on my own
[00:45:56.700 --> 00:45:57.700]   I'm feeling overwhelmed
[00:45:57.700 --> 00:45:59.700]   I'm feeling that ridicule around me
[00:45:59.700 --> 00:46:01.700]   I feel like I'm going to compromise
[00:46:01.700 --> 00:46:03.700]   Lord, would you strengthen me right now?
[00:46:03.700 --> 00:46:05.700]   Come on church, just begin to pray
[00:46:05.700 --> 00:46:08.700]   Begin to ask the Lord to strengthen your hands
[00:46:08.700 --> 00:46:10.700]   Begin for Him to strengthen
[00:46:10.700 --> 00:46:13.700]   The word says that those who wait upon the Lord
[00:46:13.700 --> 00:46:15.700]   That they will be renewed
[00:46:15.700 --> 00:46:17.700]   That their strength would be renewed
[00:46:17.700 --> 00:46:21.700]   So in this moment Lord, we stand before you as your church
[00:46:21.700 --> 00:46:22.700]   And we wait Lord
[00:46:22.700 --> 00:46:25.700]   We wait on your spirit and your power
[00:46:25.700 --> 00:46:27.700]   And your life and your love
[00:46:27.700 --> 00:46:30.700]   And we pray, would you strengthen our hands Lord?
[00:46:30.700 --> 00:46:33.700]   Would you strengthen us for the work that is before us Lord?
[00:46:33.700 --> 00:46:36.700]   And would it be for your glory and not our glory?
[00:46:36.700 --> 00:46:38.700]   Come on church, just begin to pray
[00:46:38.700 --> 00:46:41.700]   Just begin to bring your situation before Him
[00:46:41.700 --> 00:46:45.700]   Just begin to bring your life before Him
[00:46:45.700 --> 00:46:47.700]   Confess whatever needs to be confessed
[00:46:47.700 --> 00:46:49.700]   Ask Him to strengthen you
[00:46:49.700 --> 00:46:51.700]   Come on church, and we're going to sing together
[00:46:51.700 --> 00:46:53.700]   We're going to sing a declaration
[00:46:53.700 --> 00:46:57.700]   Of this strengthening to be upon us
[00:46:57.700 --> 00:46:58.700]   Come Lord Jesus
[00:46:58.700 --> 00:47:02.700]   [Singing in tongues]
[00:47:02.700 --> 00:47:03.700]   Come on
[00:47:03.700 --> 00:47:04.700]   Yes Lord
[00:47:04.700 --> 00:47:09.700]   [Music]
[00:47:09.700 --> 00:47:10.700]   Yes
[00:47:10.700 --> 00:47:13.700]   [Music]
[00:47:13.700 --> 00:47:14.700]   Yes Lord
[00:47:14.700 --> 00:47:18.700]   [Music]
[00:47:18.700 --> 00:47:20.700]   Come on church, keep praying
[00:47:20.700 --> 00:47:23.700]   [Music]
[00:47:23.700 --> 00:47:25.700]   We push back the enemy's plans
[00:47:25.700 --> 00:47:28.700]   [Music]
[00:47:28.700 --> 00:47:29.700]   Yes Lord
[00:47:29.700 --> 00:47:33.700]   [Music]
[00:47:33.700 --> 00:47:35.700]   Over every dream, over every purpose
[00:47:35.700 --> 00:47:37.700]   Over every family Lord
[00:47:37.700 --> 00:47:38.700]   Jesus
[00:47:38.700 --> 00:47:41.700]   [Music]
[00:47:41.700 --> 00:47:42.700]   Yes, come on
[00:47:42.700 --> 00:47:46.700]   [Music]
[00:47:46.700 --> 00:47:47.700]   Yes, come on
[00:47:47.700 --> 00:47:52.700]   [Music]
[00:47:52.700 --> 00:47:53.700]   He's going to touch you now
[00:47:53.700 --> 00:47:58.700]   [Music]
[00:47:58.700 --> 00:47:59.700]   Come on church
[00:47:59.700 --> 00:48:01.700]   [Music]
[00:48:01.700 --> 00:48:02.700]   Yes Lord
[00:48:02.700 --> 00:48:03.700]   [Music]
[00:48:03.700 --> 00:48:04.700]   Wait on
[00:48:04.700 --> 00:48:05.700]   [Music]
[00:48:05.700 --> 00:48:06.700]   Yes Lord
[00:48:06.700 --> 00:48:07.700]   [Music]
[00:48:07.700 --> 00:48:08.700]   Come on church
[00:48:08.700 --> 00:48:09.700]   [Music]
[00:48:09.700 --> 00:48:11.700]   Come on, declare it before Him
[00:48:11.700 --> 00:48:13.700]   He's going to renew your strength
[00:48:13.700 --> 00:48:17.700]   [Music]
[00:48:17.700 --> 00:48:19.700]   Yes Lord, come on
[00:48:19.700 --> 00:48:22.700]   [Music]
