
[00:00:00.000 --> 00:00:10.000]  大明寺廟早晨 我是黃牧師 很高興能夠再次在主日送拜的時間和大家分享主的道理
[00:24:12.000 --> 00:24:15.000]  當兩者能夠彼此的聯合
[00:24:15.000 --> 00:24:18.000]  產生一個協同的關係的時候
[00:24:18.000 --> 00:24:22.000]  生下來就有上帝的確定
[00:24:22.000 --> 00:24:25.000]  而在這個過程當中
[00:24:25.000 --> 00:24:28.000]  就有很多的學習值得我們今天去學
[00:24:28.000 --> 00:24:32.000]  一個有耳當聽的人
[00:24:32.000 --> 00:24:35.000]  他可以聽見上帝的說話之後
[00:24:35.000 --> 00:24:36.000]  自己做了的
[00:24:36.000 --> 00:24:37.000]  他講了的事
[00:24:37.000 --> 00:24:39.000]  也都肯去做的時候
[00:24:39.000 --> 00:24:42.000]  上帝是很樂於和這些人同工的
[00:24:42.000 --> 00:24:45.000]  第一次會上帝從舊約
[00:24:45.000 --> 00:24:47.000]  以至新約裡面
[00:24:47.000 --> 00:24:49.000]  其實做事都不是說
[00:24:49.000 --> 00:24:51.000]  經常要用神跡歧視
[00:24:51.000 --> 00:24:56.000]  其實只是用上帝整個的創造的設計
[00:24:56.000 --> 00:24:58.000]  他的系統的order
[00:24:58.000 --> 00:25:03.000]  來去完成上帝拯救的工作
[00:25:03.000 --> 00:25:07.000]  所以上帝在整個過程當中
[00:25:07.000 --> 00:25:12.000]  他只是微微在這個人的
[00:25:12.000 --> 00:25:14.000]  他設計了的夫妻關係
[00:25:14.000 --> 00:25:16.000]  生兒育女的過程當中
[00:25:16.000 --> 00:25:18.000]  作出一個允許
[00:25:18.000 --> 00:25:21.000]  於是乎就生下了
[00:25:21.000 --> 00:25:26.000]  不過這件事值得我們反思的是什麼呢?
[00:25:26.000 --> 00:25:27.000]  有些大兄姐妹就說
[00:25:27.000 --> 00:25:28.000]  啊牧師
[00:25:28.000 --> 00:25:30.000]  那有些人都是結了婚
[00:25:30.000 --> 00:25:32.000]  按照規矩
[00:25:32.000 --> 00:25:33.000]  但他沒得生的
[00:25:33.000 --> 00:25:35.000]  那是不是神咒了他?
[00:25:35.000 --> 00:25:40.000]  今天我想在這裡引申一個很重要的原則
[00:25:40.000 --> 00:25:42.000]  剛才我提過
[00:25:42.000 --> 00:25:45.000]  不是從結果去印證上帝
[00:25:45.000 --> 00:25:49.000]  而是先認定上帝是怎樣的上帝
[00:25:49.000 --> 00:25:53.000]  然後去看上帝在這些結果裡面的他的旨意
[00:25:53.000 --> 00:25:57.000]  這是一個很不同的思維
[00:25:57.000 --> 00:26:00.000]  很可惜的就是今天有多少人
[00:26:00.000 --> 00:26:02.000]  是能夠有這樣的尊重呢?
[00:26:02.000 --> 00:26:06.000]  而不讓上帝參與在他們的人生裡面呢?
[00:26:06.000 --> 00:26:08.000]  很多人特別是有些夫婦
[00:26:08.000 --> 00:26:10.000]  我曾經認識過
[00:26:10.000 --> 00:26:12.000]  他結了婚
[00:26:12.000 --> 00:26:14.000]  試了很久
[00:26:14.000 --> 00:26:18.000]  都生不了一個兒一個女
[00:26:18.000 --> 00:26:19.000]  沒辦法
[00:26:19.000 --> 00:26:21.000]  於是乎怎麼樣呢?
[00:26:21.000 --> 00:26:25.000]  他覺得這是一個醫學性
[00:26:25.000 --> 00:26:29.000]  一個可以說生物學上的一個問題
[00:26:29.000 --> 00:26:32.000]  用人手的方法
[00:26:32.000 --> 00:26:37.000]  去嘗試擔當上帝的工作
[00:26:37.000 --> 00:26:39.000]  在這樣的情況下
[00:26:39.000 --> 00:26:41.000]  就反映出一個人
[00:26:41.000 --> 00:26:43.000]  他其實是不是真的相信上帝呢?
[00:26:43.000 --> 00:26:48.000]  他是不是尊重上帝在他的婚姻裡面的設計呢?
[00:26:48.000 --> 00:26:50.000]  不是啊
[00:26:50.000 --> 00:26:53.000]  他認為這是一個生物上的問題而已
[00:26:53.000 --> 00:26:55.000]  還有很多理由
[00:26:55.000 --> 00:26:57.000]  上帝都祝福醫療啊
[00:26:57.000 --> 00:26:59.000]  如果上帝祝福醫療
[00:26:59.000 --> 00:27:03.000]  有幫助懷孕的診所
[00:27:03.000 --> 00:27:04.000]  為什麼我不用呢?
[00:27:04.000 --> 00:27:08.000]  上帝祝福了有些人有這樣的智慧去幫我們
[00:27:08.000 --> 00:27:10.000]  其實第一
[00:27:10.000 --> 00:27:15.000]  上帝如果要你在婚姻上
[00:27:15.000 --> 00:27:17.000]  可以結婚
[00:27:17.000 --> 00:27:19.000]  然後可以生兒育女
[00:27:19.000 --> 00:27:21.000]  上帝有這個設計
[00:27:21.000 --> 00:27:24.000]  但上帝同樣有另外一個設計
[00:27:24.000 --> 00:27:26.000]  上帝可以你結了婚
[00:27:26.000 --> 00:27:28.000]  然後同樣有夫妻的慣
[00:27:28.000 --> 00:27:30.000]  但你可以無兒無女
[00:27:30.000 --> 00:27:32.000]  上帝可以使你沒有兒女
[00:27:32.000 --> 00:27:34.000]  你說不是啊
[00:27:34.000 --> 00:27:36.000]  上帝在聖經說
[00:27:36.000 --> 00:27:38.000]  我們生養眾多片滿地面
[00:27:38.000 --> 00:27:41.000]  但上帝是不是說你是這樣的情況呢?
[00:27:41.000 --> 00:27:45.000]  這個是一個很重要的原因
[00:27:45.000 --> 00:27:46.000]  還有上帝有沒有說
[00:27:46.000 --> 00:27:48.000]  在這個時候才要給你呢?
[00:27:48.000 --> 00:27:50.000]  遲些給你不行呢?
[00:27:50.000 --> 00:27:52.000]  或者上帝說我不是在這個時候
[00:27:52.000 --> 00:27:53.000]  不是在這個
[00:27:53.000 --> 00:27:55.000]  要經過某些操練
[00:27:55.000 --> 00:27:57.000]  才可以成熟
[00:27:57.000 --> 00:27:59.000]  才可以擔當父母
[00:27:59.000 --> 00:28:01.000]  有沒有想過這些呢?
[00:28:01.000 --> 00:28:04.000]  我們只是結婚生子一定是理所當然
[00:28:04.000 --> 00:28:05.000]  不是
[00:28:05.000 --> 00:28:07.000]  上帝有他的時間
[00:28:07.000 --> 00:28:10.000]  有主權去決定你和我
[00:28:10.000 --> 00:28:12.000]  如果你是夫妻的話
[00:28:12.000 --> 00:28:15.000]  上帝有主權去幹制
[00:28:15.000 --> 00:28:17.000]  究竟是否可以得到兒女
[00:28:17.000 --> 00:28:19.000]  那你可能會反過來問
[00:28:19.000 --> 00:28:22.000]  牧師有些人亂搞男女關係
[00:28:22.000 --> 00:28:25.000]  生到一大堆的兒女
[00:28:25.000 --> 00:28:28.000]  有些人還有四個老婆
[00:28:28.000 --> 00:28:30.000]  生了十幾個子女
[00:28:30.000 --> 00:28:32.000]  他們都搞
[00:28:32.000 --> 00:28:35.000]  有些雖然無名無份的夫婦
[00:28:35.000 --> 00:28:37.000]  但子女都跟他名字
[00:28:37.000 --> 00:28:39.000]  上帝有容許他
[00:28:39.000 --> 00:28:40.000]  弟兄姊妹
[00:28:40.000 --> 00:28:42.000]  我就是想告訴大家
[00:28:42.000 --> 00:28:47.000]  不是結果決定上帝是否祝福
[00:28:47.000 --> 00:28:51.000]  不是結果決定上帝有沒有這樣的決定權
[00:28:51.000 --> 00:28:54.000]  上帝決定權是絕對不需要你
[00:28:54.000 --> 00:28:57.000]  不需要結果決定都有這個主權
[00:28:57.000 --> 00:29:00.000]  但上帝喜悅的
[00:29:00.000 --> 00:29:02.000]  就是那些能夠聽他的話
[00:29:02.000 --> 00:29:04.000]  信服在他裡面
[00:29:04.000 --> 00:29:07.000]  上帝決定了什麼
[00:29:07.000 --> 00:29:08.000]  在這一刻是這樣
[00:29:08.000 --> 00:29:11.000]  你就跟著上帝這樣做
[00:29:11.000 --> 00:29:15.000]  而且安心存在上帝設計的這個境況裡面
[00:29:15.000 --> 00:29:21.000]  這個才是上帝所喜歡使用的人
[00:29:21.000 --> 00:29:26.000]  而從這句聖經第十三節就很清楚告訴我們
[00:29:26.000 --> 00:29:29.000]  波亞斯和路德就是這樣的人
[00:29:29.000 --> 00:29:32.000]  而上帝就喜悅和這些人同在
[00:29:32.000 --> 00:29:35.000]  所以上帝要參與一份
[00:29:35.000 --> 00:29:38.000]  有很多人根本不需要上帝參與
[00:29:38.000 --> 00:29:39.000]  他喜歡有兒有女
[00:29:39.000 --> 00:29:41.000]  喜歡很多
[00:29:41.000 --> 00:29:44.000]  但是他不需要上帝參與在他裡面
[00:29:44.000 --> 00:29:45.000]  弟兄姊妹
[00:29:45.000 --> 00:29:48.000]  上帝就不能用得著這些人
[00:29:48.000 --> 00:29:50.000]  牧師你怎麼知道
[00:29:50.000 --> 00:29:51.000]  我不知道
[00:29:51.000 --> 00:29:52.000]  留給上帝決定吧
[00:29:52.000 --> 00:29:56.000]  不過最起碼聖經沒有叫我們這樣做
[00:29:56.000 --> 00:30:00.000]  從這段聖經裡面告訴我們
[00:30:00.000 --> 00:30:02.000]  有兒有女
[00:30:02.000 --> 00:30:05.000]  如果尊重在上帝的裡面
[00:30:05.000 --> 00:30:07.000]  有上帝參與在其中
[00:30:07.000 --> 00:30:11.000]  這些兒女就是上帝所祝福
[00:30:11.000 --> 00:30:14.000]  而上帝用得著
[00:30:14.000 --> 00:30:18.000]  如果你說我只是一個生物上的問題
[00:30:18.000 --> 00:30:19.000]  我喜歡生多十個
[00:30:19.000 --> 00:30:21.000]  我多搞幾個女人
[00:30:21.000 --> 00:30:23.000]  我多找幾個情郎
[00:30:23.000 --> 00:30:24.000]  生多些
[00:30:24.000 --> 00:30:26.000]  你就變成你取代上帝
[00:30:26.000 --> 00:30:29.000]  在這樣的時候上帝就用不著你
[00:30:29.000 --> 00:30:36.000]  所以其實整個侍奉能夠給神所使用的人
[00:30:36.000 --> 00:30:38.000]  有耳可聽的人
[00:30:38.000 --> 00:30:41.000]  他不是自己作主
[00:30:41.000 --> 00:30:44.000]  而是尊重上帝的主權
[00:30:44.000 --> 00:30:46.000]  上帝要這一刻我無兒無女
[00:30:46.000 --> 00:30:47.000]  我就無兒無女
[00:30:47.000 --> 00:30:49.000]  上帝要我一生都無兒無女
[00:30:49.000 --> 00:30:51.000]  我就無兒無女
[00:30:51.000 --> 00:30:53.000]  但是不可以我取代上帝
[00:30:53.000 --> 00:30:55.000]  我決定有沒有兒女
[00:30:55.000 --> 00:30:58.000]  我要用人工受孕方式
[00:30:58.000 --> 00:30:59.000]  要有兒有女
[00:30:59.000 --> 00:31:02.000]  我喜歡搞多少搞多少
[00:31:02.000 --> 00:31:03.000]  我有多少有兒有女
[00:31:03.000 --> 00:31:06.000]  甚至有些人我決定不喜歡生
[00:31:06.000 --> 00:31:09.000]  我不想有子女麻煩
[00:31:09.000 --> 00:31:11.000]  亦是另一個反面
[00:31:11.000 --> 00:31:16.000]  人取代了上帝的位置
[00:31:16.000 --> 00:31:19.000]  上帝喜悅這些人嗎?
[00:31:19.000 --> 00:31:21.000]  上帝不喜悅
[00:31:21.000 --> 00:31:25.000]  上帝喜悅的是你尊重他
[00:31:25.000 --> 00:31:29.000]  結局究竟你有兒有女不是最重要
[00:31:29.000 --> 00:31:33.000]  最重要的是你有沒有甘心
[00:31:33.000 --> 00:31:36.000]  在上帝的主權當中
[00:31:36.000 --> 00:31:40.000]  有兒有女可能是一個奏助
[00:31:40.000 --> 00:31:42.000]  他找你很多麻煩
[00:31:42.000 --> 00:31:43.000]  這個不是我說的
[00:31:43.000 --> 00:31:47.000]  其實如果你在創世紀裏面
[00:31:47.000 --> 00:31:49.000]  如果你們去看
[00:31:49.000 --> 00:31:53.000]  當我們去看以撒和他的妻子
[00:31:53.000 --> 00:31:57.000]  當他們有兒女之後
[00:31:57.000 --> 00:31:59.000]  真的頭都很癢
[00:31:59.000 --> 00:32:02.000]  他經常為他們憂心
[00:32:02.000 --> 00:32:06.000]  特別是要他娶客人的女子為妻
[00:32:06.000 --> 00:32:08.000]  真的頭都癢
[00:32:08.000 --> 00:32:10.000]  所以弟兄姊妹
[00:32:10.000 --> 00:32:16.000]  重要的是我們有沒有按部就班
[00:32:16.000 --> 00:32:20.000]  在上帝設計的系統裏面
[00:32:20.000 --> 00:32:24.000]  按照神的設計而行事
[00:32:24.000 --> 00:32:28.000]  不走遮面不走捷徑
[00:32:28.000 --> 00:32:32.000]  按照上帝的時間表
[00:32:32.000 --> 00:32:34.000]  我們去尊重上帝而行
[00:32:34.000 --> 00:32:37.000]  所以簡單的說
[00:32:37.000 --> 00:32:41.000]  神去作主人去配合
[00:32:41.000 --> 00:32:43.000]  我重複說多次
[00:32:43.000 --> 00:32:48.000]  最重要的是神作主人的配合
[00:32:48.000 --> 00:32:50.000]  在這個重要的原則裏面
[00:32:50.000 --> 00:32:53.000]  神是做決定的
[00:32:53.000 --> 00:33:01.000]  和人們如何配合上帝的計劃
[00:33:01.000 --> 00:33:05.000]  如果我們在這個基本的原則
[00:33:05.000 --> 00:33:07.000]  這個重要的原則裏面
[00:33:07.000 --> 00:33:09.000]  能夠持得穩的話
[00:33:09.000 --> 00:33:12.000]  我們今天就可以被神所使用
[00:33:12.000 --> 00:33:15.000]  無論在升遷工作上
[00:33:15.000 --> 00:33:18.000]  或者升學的事情上
[00:33:18.000 --> 00:33:20.000]  或者擇偶的事情上
[00:33:20.000 --> 00:33:24.000]  甚至少到吃飯吃什麼都好
[00:33:24.000 --> 00:33:27.000]  如果你尊重上帝的話
[00:33:27.000 --> 00:33:32.000]  上帝就在這些地方賜福給你
[00:33:32.000 --> 00:33:35.000]  你不要說其中一樣東西
[00:33:35.000 --> 00:33:37.000]  我們中國人以前都有的
[00:33:37.000 --> 00:33:40.000]  不時不幸
[00:33:40.000 --> 00:33:43.000]  如果不合時間而種出來的東西
[00:33:43.000 --> 00:33:45.000]  你吃都很頭殼
[00:33:45.000 --> 00:33:47.000]  今天不知道大家有沒有留意
[00:33:47.000 --> 00:33:50.000]  很多食物原本不在夏天有的
[00:33:50.000 --> 00:33:51.000]  夏天又有
[00:33:51.000 --> 00:33:53.000]  有些東西不在冬天有的
[00:33:53.000 --> 00:33:55.000]  為什麼冬天又有呢?
[00:33:55.000 --> 00:33:59.000]  因為要人勝過上帝
[00:33:59.000 --> 00:34:01.000]  你看看吃完這些東西
[00:34:01.000 --> 00:34:04.000]  現在這個世界變成怎樣
[00:34:04.000 --> 00:34:06.000]  所以我們如果說
[00:34:06.000 --> 00:34:08.000]  現在不只是說吃東西的問題
[00:34:08.000 --> 00:34:11.000]  我們有沒有尊重上帝在整個大自然的設計
[00:34:11.000 --> 00:34:14.000]  在整個創造裏面上帝的主權
[00:34:14.000 --> 00:34:16.000]  如果我們不尊重的話
[00:34:16.000 --> 00:34:18.000]  上帝就用不著
[00:34:18.000 --> 00:34:23.000]  但波亞斯和路德就用得著
[00:34:23.000 --> 00:34:27.000]  他們的懷孕生子就能夠承擔了
[00:34:27.000 --> 00:34:30.000]  一個歷史很重要的發展
[00:34:30.000 --> 00:34:32.000]  就是舊因歷史的發展
[00:34:32.000 --> 00:34:35.000]  這個我們會在最後一堂會說的
[00:34:35.000 --> 00:34:38.000]  在這裏不單止13節
[00:34:38.000 --> 00:34:41.000]  說到一個有耳可聽的人是怎樣變的
[00:34:41.000 --> 00:34:44.000]  接著接下來從14節至17節的上半節
[00:34:44.000 --> 00:34:46.000]  就一連串說給我們聽
[00:34:46.000 --> 00:34:50.000]  一些有耳但聽不到的人
[00:34:50.000 --> 00:34:52.000]  他們的人是怎樣
[00:34:52.000 --> 00:34:54.000]  或者聽不聽到的人是怎樣呢
[00:34:54.000 --> 00:34:58.000]  我們看看從第14節到第15節
[00:34:58.000 --> 00:34:59.000]  我們先看看
[00:34:59.000 --> 00:35:04.000]  在這裏我們看到一些有耳卻不可聽的人
[00:35:04.000 --> 00:35:10.000]  他對神的理解其實仍然是留於一個很膚淺的狀態
[00:35:10.000 --> 00:35:11.000]  他不是不認識
[00:35:11.000 --> 00:35:14.000]  不過永遠留在一個膚淺的狀態
[00:35:14.000 --> 00:35:16.000]  我們看看第14節15節
[00:35:16.000 --> 00:35:18.000]  Verse 14 and 15
[00:35:18.000 --> 00:35:20.000]  夫人們對拿娥米說
[00:35:20.000 --> 00:35:22.000]  耶和華是應當稱重的
[00:35:22.000 --> 00:35:27.000]  因為今日沒有撇下你使你無至近的親屬
[00:35:27.000 --> 00:35:31.000]  願這孩子在以色列人中得名聲
[00:35:31.000 --> 00:35:36.000]  他必提起你的精神奉養你的腦
[00:35:36.000 --> 00:35:39.000]  因為是愛慕你的那兒婦所生的
[00:35:39.000 --> 00:35:43.000]  有這兒婦比有七個兒子還好
[00:35:43.000 --> 00:35:47.000]  在這裏我們看到一些有耳
[00:35:47.000 --> 00:35:51.000]  不過聽不聽到的人
[00:35:51.000 --> 00:35:54.000]  他們的宿命表現是怎樣
[00:35:54.000 --> 00:35:56.000]  牧師好像很好啊
[00:35:56.000 --> 00:35:58.000]  這段聖經是不是說得很好
[00:35:58.000 --> 00:36:03.000]  但很可惜這段聖經其實在作者的寫作裏面
[00:36:03.000 --> 00:36:08.000]  其實是在回應在前文所提及過的這班人
[00:36:08.000 --> 00:36:13.000]  這班叫做在伯利恆裏面的眾婦女
[00:36:13.000 --> 00:36:15.000]  在這裏說什麼呢
[00:36:15.000 --> 00:36:21.000]  是談論這班婦人其實和拿娥米很合得來
[00:36:21.000 --> 00:36:26.000]  他們的宿命狀態和拿娥米不相伯仲
[00:36:26.000 --> 00:36:31.000]  他們對神的認識只停留在一個這樣的原則
[00:36:31.000 --> 00:36:34.000]  亦都是今天很多基督徒停留的原則
[00:36:34.000 --> 00:36:38.000]  就是只要當人的難題得到神解決之後
[00:36:38.000 --> 00:36:42.000]  才覺得這樣才值得讚頌這位神
[00:36:42.000 --> 00:36:45.000]  我重複講多一次
[00:36:45.000 --> 00:36:50.000]  只會當當事人的難題得到神解決之後
[00:36:50.000 --> 00:36:55.000]  他們才認為這個神是值得真正讚頌的神
[00:36:55.000 --> 00:37:00.000]  所以他們的宗教思想是
[00:37:00.000 --> 00:37:06.000]  直到神可以解決我的問題
[00:37:06.000 --> 00:37:13.000]  才會覺得這個神是值得讚頌的
[00:37:13.000 --> 00:37:15.000]  換句話來說
[00:37:15.000 --> 00:37:21.000]  他們認為神的真偽或者神的本質
[00:37:21.000 --> 00:37:26.000]  只是他個人利益上的一個係數
[00:37:26.000 --> 00:37:27.000]  一個因素
[00:37:27.000 --> 00:37:32.000]  只是一個因素讓他們去考慮神是否真正的神
[00:37:32.000 --> 00:37:34.000]  這就要看結果
[00:37:34.000 --> 00:37:37.000]  結果決定一切
[00:37:37.000 --> 00:37:41.000]  結果斷定一切原因是否合法
[00:37:41.000 --> 00:37:43.000]  這是很危險的想法
[00:37:43.000 --> 00:37:46.000]  所以很多人不擇手段做很多壞事
[00:37:46.000 --> 00:37:52.000]  最後大家很和平
[00:37:52.000 --> 00:37:55.000]  不要理會過程我怎樣不擇手段
[00:37:55.000 --> 00:37:59.000]  如果結果是大家覺得好的
[00:37:59.000 --> 00:38:01.000]  那就是我之前所做的事
[00:38:01.000 --> 00:38:03.000]  就算多壞也好
[00:38:03.000 --> 00:38:08.000]  這種思維流行在很多不信的人當中
[00:38:08.000 --> 00:38:13.000]  我們要把這種思維相信上帝
[00:38:13.000 --> 00:38:15.000]  上帝解決了我的問題
[00:38:15.000 --> 00:38:16.000]  你就真上帝
[00:38:16.000 --> 00:38:18.000]  我就讚你
[00:38:18.000 --> 00:38:20.000]  這群婦女就是這樣
[00:38:20.000 --> 00:38:23.000]  耶和華是應當稱頌的
[00:38:23.000 --> 00:38:27.000]  牧師你覺得這群婦女不好嗎?
[00:38:27.000 --> 00:38:32.000]  其實這群婦女和南俄米早就交惡了
[00:38:32.000 --> 00:38:34.000]  不只是這裡的情況
[00:38:34.000 --> 00:38:35.000]  早就交惡了
[00:38:35.000 --> 00:38:38.000]  不過稍後會多看一點
[00:38:38.000 --> 00:38:41.000]  其實早就交惡的這群婦女
[00:38:41.000 --> 00:38:51.000]  對於南俄米抱著一種不協和的心態
[00:38:51.000 --> 00:38:54.000]  其實這種不和的心態是誰造成的呢?
[00:38:54.000 --> 00:38:56.000]  其實是南俄米自己造出來的
[00:38:56.000 --> 00:38:57.000]  我們一會兒看看
[00:38:57.000 --> 00:38:59.000]  如果你不相信
[00:38:59.000 --> 00:39:04.000]  我們就要重新看剛才所說的第一章
[00:39:04.000 --> 00:39:07.000]  第十九節至二十一節
[00:39:07.000 --> 00:39:11.000]  在聖經說到南俄米和路德
[00:39:11.000 --> 00:39:16.000]  兩個人一起從摩亞地走回到伯利恆的時候
[00:39:16.000 --> 00:39:18.000]  他們到伯利恆
[00:39:18.000 --> 00:39:20.000]  合乘的人都驚訝
[00:39:20.000 --> 00:39:21.000]  然後聖經就說
[00:39:21.000 --> 00:39:26.000]  「婦人們說,這是南俄米嗎?」
[00:39:26.000 --> 00:39:31.000]  其實可能只是一個驚訝的詫異
[00:39:31.000 --> 00:39:33.000]  我曾經說過這段聖經
[00:39:33.000 --> 00:39:36.000]  或者他們覺得很詫異
[00:39:36.000 --> 00:39:39.000]  為什麼他和一個愛邦女子走在一起
[00:39:39.000 --> 00:39:43.000]  已經有一種負面的表現
[00:39:43.000 --> 00:39:46.000]  南俄米不是一個簡單的女人
[00:39:46.000 --> 00:39:49.000]  她的反應非常強烈
[00:39:49.000 --> 00:39:51.000]  我們怎知道呢?不是我冤枉她
[00:39:51.000 --> 00:39:53.000]  她自己說的
[00:39:53.000 --> 00:39:54.000]  她自己說什麼?
[00:39:54.000 --> 00:39:56.000]  不要再叫我做南俄米
[00:39:56.000 --> 00:39:58.000]  不要再叫我做甜甜
[00:39:58.000 --> 00:40:00.000]  叫我做什麼?叫做馬拉
[00:40:00.000 --> 00:40:04.000]  我很苦命,我是一個苦命婆婆
[00:40:04.000 --> 00:40:07.000]  一句說話就被人家掩蓋了
[00:40:07.000 --> 00:40:08.000]  然後又怎樣?
[00:40:08.000 --> 00:40:11.000]  然後就拿出夜話來打人
[00:40:11.000 --> 00:40:12.000]  然後就說什麼?
[00:40:12.000 --> 00:40:14.000]  因為全能者使我受大苦
[00:40:14.000 --> 00:40:16.000]  我滿滿地出去
[00:40:16.000 --> 00:40:18.000]  她是不是滿滿地出去我不知道
[00:40:18.000 --> 00:40:20.000]  因為她都是走難走下去
[00:40:20.000 --> 00:40:22.000]  或者她家道很豐富
[00:40:22.000 --> 00:40:24.000]  她家住一筆錢移民
[00:40:24.000 --> 00:40:25.000]  我不管了
[00:40:25.000 --> 00:40:28.000]  但是她說夜話使我空空回來
[00:40:28.000 --> 00:40:31.000]  夜話過我與我全能者使我受苦
[00:40:31.000 --> 00:40:36.000]  何時你們還為什麼叫我做南俄米呢?
[00:40:36.000 --> 00:40:38.000]  大兄姐妹
[00:40:38.000 --> 00:40:42.000]  南俄米不是一個簡單的女人
[00:40:42.000 --> 00:40:44.000]  她一見到別人攻擊她
[00:40:44.000 --> 00:40:47.000]  她上帝都拿出來打你的
[00:40:47.000 --> 00:40:49.000]  這些事情我經歷過很多
[00:40:49.000 --> 00:40:50.000]  在教會經常都見到
[00:40:50.000 --> 00:40:52.000]  有些事情不中聽的時候
[00:40:52.000 --> 00:40:54.000]  就找上帝來打你
[00:40:54.000 --> 00:40:57.000]  南俄米就是這個典型例子
[00:40:57.000 --> 00:41:04.000]  這幫婦女與南俄米的淑女狀態不相伯仲
[00:41:04.000 --> 00:41:05.000]  半斤八兩而已
[00:41:05.000 --> 00:41:09.000]  他們其實有一個吻合的錯誤
[00:41:09.000 --> 00:41:11.000]  上帝解決了你的問題
[00:41:11.000 --> 00:41:13.000]  那不就值得讚頌了
[00:41:13.000 --> 00:41:16.000]  其實是充滿很多諷刺
[00:41:16.000 --> 00:41:21.000]  挖苦的一些口吻在這句經文裡面
[00:41:21.000 --> 00:41:23.000]  如果我們沒有前文
[00:41:23.000 --> 00:41:26.000]  我們就說我自己個人看法
[00:41:26.000 --> 00:41:28.000]  我讀成了文字
[00:41:28.000 --> 00:41:29.000]  我個人覺得不是
[00:41:29.000 --> 00:41:34.000]  作者故意在前文鋪排
[00:41:34.000 --> 00:41:36.000]  講了這幫婦女
[00:41:36.000 --> 00:41:40.000]  如何與南俄米交惡的關係
[00:41:40.000 --> 00:41:42.000]  在這樣的狀態下
[00:41:42.000 --> 00:41:44.000]  這幫女士見到她現在
[00:41:44.000 --> 00:41:47.000]  你的計謀得意得逞了
[00:41:47.000 --> 00:41:49.000]  他們還不把握機會
[00:41:49.000 --> 00:41:51.000]  挖苦多你兩樣東西
[00:41:51.000 --> 00:41:52.000]  在這個時候
[00:41:52.000 --> 00:41:55.000]  這幫婦人就這樣說
[00:41:55.000 --> 00:41:57.000]  他們說得很漂亮
[00:41:57.000 --> 00:41:58.000]  怎麼樣
[00:41:58.000 --> 00:42:01.000]  清眾不僅如此
[00:42:01.000 --> 00:42:03.000]  今天沒有撇下你
[00:42:03.000 --> 00:42:07.000]  使你沒有至近親的親屬
[00:42:07.000 --> 00:42:10.000]  願這孩子在以色列人當中得名聲
[00:42:10.000 --> 00:42:12.000]  這句話翻譯和合本是有點錯誤的
[00:42:12.000 --> 00:42:14.000]  不是願這孩子
[00:42:14.000 --> 00:42:16.000]  其實這個是願
[00:42:16.000 --> 00:42:18.000]  原文是說高
[00:42:18.000 --> 00:42:19.000]  高是指誰呢
[00:42:19.000 --> 00:42:20.000]  是指波亞斯
[00:42:20.000 --> 00:42:27.000]  願波亞斯在以色列當中的名聲得以昌盛
[00:42:27.000 --> 00:42:28.000]  並且怎麼樣
[00:42:28.000 --> 00:42:31.000]  他必提起你的精神
[00:42:31.000 --> 00:42:33.000]  奉養你到老
[00:42:33.000 --> 00:42:37.000]  因為是你愛慕你那兒婦所生的
[00:42:37.000 --> 00:42:42.000]  連續如果我們看回這段聖經
[00:42:42.000 --> 00:42:44.000]  連續做了兩個祝福
[00:42:44.000 --> 00:42:47.000]  這兩個祝福又這麼無獨有偶
[00:42:47.000 --> 00:42:52.000]  和在前文第四章十一十二節裡
[00:42:52.000 --> 00:42:55.000]  那些長老對於波亞斯的祝福
[00:42:55.000 --> 00:42:57.000]  無獨有偶很銜接
[00:42:57.000 --> 00:43:00.000]  我再看前文第十一十二節這麼說
[00:43:00.000 --> 00:43:01.000]  這幫長老說
[00:43:01.000 --> 00:43:03.000]  我們作你的現證
[00:43:03.000 --> 00:43:13.000]  願你在以法他得到亨通
[00:43:13.000 --> 00:43:15.000]  這個字也是昌盛
[00:43:15.000 --> 00:43:16.000]  發達了
[00:43:16.000 --> 00:43:18.000]  在伯利恆得名聲
[00:43:18.000 --> 00:43:20.000]  你的名聲響了
[00:43:20.000 --> 00:43:25.000]  願你在少年女子賜你後裔
[00:43:25.000 --> 00:43:27.000]  使你家長貪馬
[00:43:27.000 --> 00:43:31.000]  從猶大所生法拉斯的家一半
[00:43:31.000 --> 00:43:33.000]  我不重複說這些詳細了
[00:43:33.000 --> 00:43:37.000]  不過你看原來這幫伯利恆的婦女
[00:43:37.000 --> 00:43:39.000]  聽得清清楚楚
[00:43:39.000 --> 00:43:41.000]  並且他們的心術
[00:43:41.000 --> 00:43:46.000]  完全祝福和這幫長老很類似
[00:43:46.000 --> 00:43:49.000]  甚至可以說完全實現
[00:43:49.000 --> 00:43:50.000]  不過弟兄姊妹
[00:43:50.000 --> 00:43:56.000]  當一個人似乎知道上帝的祝福
[00:43:56.000 --> 00:43:58.000]  但是他口講是這樣
[00:43:58.000 --> 00:44:00.000]  他心是怎麼樣呢?
[00:44:00.000 --> 00:44:03.000]  讀聖經你要讀出這些
[00:44:03.000 --> 00:44:04.000]  如果讀不出
[00:44:04.000 --> 00:44:05.000]  你說讀聖經
[00:44:05.000 --> 00:44:08.000]  你就讀不出聖經的主旨
[00:44:08.000 --> 00:44:10.000]  在這段聖經裡
