
[00:00:00.000 --> 00:00:02.000]   (Cantonese) Good morning, everyone.
[00:17:42.000 --> 00:17:44.000]   He doesn't want us to live a boring life
[00:17:44.000 --> 00:17:46.000]   or a miserable life.
[00:17:46.000 --> 00:17:48.000]   He calls us
[00:17:48.000 --> 00:17:50.000]   to be like God
[00:17:50.000 --> 00:17:52.000]   because he wants us
[00:17:52.000 --> 00:17:54.000]   to be like God.
[00:17:54.000 --> 00:17:56.000]   Because he is holy.
[00:17:56.000 --> 00:17:58.000]   Have you ever thought about
[00:17:58.000 --> 00:18:00.000]   why
[00:18:00.000 --> 00:18:02.000]   sexual immorality
[00:18:02.000 --> 00:18:04.000]   would take
[00:18:04.000 --> 00:18:06.000]   the brother's side?
[00:18:06.000 --> 00:18:08.000]   Maybe you think,
[00:18:08.000 --> 00:18:10.000]   "We are not married.
[00:18:10.000 --> 00:18:12.000]   How can we
[00:18:12.000 --> 00:18:14.000]   influence other brothers?"
[00:18:14.000 --> 00:18:16.000]   "It's our own business."
[00:18:16.000 --> 00:18:18.000]   But
[00:18:18.000 --> 00:18:20.000]   the brother or sister
[00:18:20.000 --> 00:18:22.000]   in your church
[00:18:22.000 --> 00:18:24.000]   might marry
[00:18:24.000 --> 00:18:26.000]   or marry someone
[00:18:26.000 --> 00:18:28.000]   one day.
[00:18:28.000 --> 00:18:30.000]   When you do this
[00:18:30.000 --> 00:18:32.000]   to them,
[00:18:32.000 --> 00:18:34.000]   you are taking
[00:18:34.000 --> 00:18:36.000]   the brother or sister's
[00:18:36.000 --> 00:18:38.000]   side.
[00:18:38.000 --> 00:18:40.000]   You are taking
[00:18:40.000 --> 00:18:42.000]   the brother's side.
[00:18:42.000 --> 00:18:44.000]   This is
[00:18:44.000 --> 00:18:46.000]   a kind of love.
[00:18:46.000 --> 00:18:48.000]   Not taking the brother's side
[00:18:48.000 --> 00:18:50.000]   or loving the brother
[00:18:50.000 --> 00:18:52.000]   or sister around you.
[00:18:52.000 --> 00:18:54.000]   Although this person
[00:18:54.000 --> 00:18:56.000]   might not appear yet,
[00:18:56.000 --> 00:18:58.000]   bear that in mind.
[00:18:58.000 --> 00:19:00.000]   If you are not
[00:19:00.000 --> 00:19:02.000]   in a relationship with
[00:19:02.000 --> 00:19:04.000]   the person you are already married to,
[00:19:04.000 --> 00:19:06.000]   you are taking the brother's side.
[00:19:06.000 --> 00:19:08.000]   The Bible
[00:19:08.000 --> 00:19:10.000]   clearly states
[00:19:10.000 --> 00:19:12.000]   that such a person
[00:19:12.000 --> 00:19:14.000]   will be punished.
[00:19:14.000 --> 00:19:16.000]   Paul said, "I am warning you."
[00:19:16.000 --> 00:19:20.000]   Third,
[00:19:20.000 --> 00:19:22.000]   if
[00:19:22.000 --> 00:19:24.000]   we don't avoid
[00:19:24.000 --> 00:19:26.000]   the sin of sin,
[00:19:26.000 --> 00:19:28.000]   we are rejecting God.
[00:19:28.000 --> 00:19:30.000]   Why?
[00:19:30.000 --> 00:19:32.000]   In Columbus'
[00:19:32.000 --> 00:19:34.000]   18-20,
[00:19:34.000 --> 00:19:36.000]   another book,
[00:19:36.000 --> 00:19:38.000]   Paul clearly states
[00:19:38.000 --> 00:19:40.000]   that we should avoid
[00:19:40.000 --> 00:19:42.000]   the sin of sin.
[00:19:42.000 --> 00:19:44.000]   We should flee from
[00:19:44.000 --> 00:19:46.000]   sexual immorality.
[00:19:46.000 --> 00:19:48.000]   We often wonder
[00:19:48.000 --> 00:19:50.000]   whether sin is a big deal.
[00:19:50.000 --> 00:19:52.000]   We can talk more about this
[00:19:52.000 --> 00:19:54.000]   later.
[00:19:54.000 --> 00:19:56.000]   But the sin of adultery
[00:19:56.000 --> 00:19:58.000]   is a big deal.
[00:19:58.000 --> 00:20:00.000]   All the sins
[00:20:00.000 --> 00:20:02.000]   mentioned in this book
[00:20:02.000 --> 00:20:04.000]   are physical.
[00:20:04.000 --> 00:20:06.000]   Only adultery
[00:20:06.000 --> 00:20:08.000]   is harmful to our body.
[00:20:08.000 --> 00:20:10.000]   If you know
[00:20:10.000 --> 00:20:12.000]   that we are God-fearing,
[00:20:12.000 --> 00:20:14.000]   that the Holy Spirit lives in our body,
[00:20:14.000 --> 00:20:16.000]   when you harm your body
[00:20:16.000 --> 00:20:18.000]   or let your body be unhealed,
[00:20:18.000 --> 00:20:20.000]   you are actually
[00:20:20.000 --> 00:20:22.000]   persecuting God.
[00:20:22.000 --> 00:20:24.000]   You are sinning against God.
[00:20:24.000 --> 00:20:26.000]   What is God doing to our body?
[00:20:26.000 --> 00:20:28.000]   The Bible says
[00:20:28.000 --> 00:20:30.000]   that God is
[00:20:30.000 --> 00:20:32.000]   in your body.
[00:20:32.000 --> 00:20:34.000]   So why
[00:20:34.000 --> 00:20:36.000]   God values sexual sins?
[00:20:36.000 --> 00:20:38.000]   We should avoid
[00:20:38.000 --> 00:20:40.000]   sexual sins because they are God's
[00:20:40.000 --> 00:20:42.000]   calling. He calls us to be holy.
[00:20:42.000 --> 00:20:44.000]   He calls us to be His followers.
[00:20:44.000 --> 00:20:46.000]   He calls us to be like Him.
[00:20:46.000 --> 00:20:48.000]   Second, if we don't do this,
[00:20:48.000 --> 00:20:50.000]   we are taking advantage of
[00:20:50.000 --> 00:20:52.000]   our brother.
[00:20:52.000 --> 00:20:54.000]   Third, if we don't do this,
[00:20:54.000 --> 00:20:56.000]   we are actually
[00:20:56.000 --> 00:20:58.000]   persecuting God.
[00:20:58.000 --> 00:21:00.000]   Because the Holy Spirit lives in our body.
[00:21:00.000 --> 00:21:02.000]   It is in our body.
[00:21:02.000 --> 00:21:04.000]   It is in our body.
[00:21:04.000 --> 00:21:08.000]   Practically,
[00:21:08.000 --> 00:21:10.000]   how can we
[00:21:10.000 --> 00:21:12.000]   live out
[00:21:12.000 --> 00:21:14.000]   this holiness?
[00:21:14.000 --> 00:21:16.000]   [translation]
[00:21:16.000 --> 00:21:31.000]   [translation in Cantonese]
[00:21:31.000 --> 00:21:36.000]   "For this is the gospel, that you become holy, that you keep away from sexual immorality"
[00:21:36.000 --> 00:21:43.000]   [translation in Cantonese]
[00:21:43.000 --> 00:21:47.000]   [translation in Cantonese]
[00:21:48.000 --> 00:21:51.000]   [translation in Cantonese]
[00:21:51.000 --> 00:21:55.540]   控制得到,唔緊要,行近啲條紅線都得
[00:21:55.540 --> 00:22:00.700]   我到最後嗰度唔做神話唔做嗰樣嘢就得㗎啦
[00:22:00.700 --> 00:22:06.120]   但係有時我哋真係會高估咗自己嘅能力
[00:22:06.120 --> 00:22:10.620]   之前喺美國可能都真係會喺教會實習啦
[00:22:10.620 --> 00:22:13.580]   都有啲人會同我分享點解
[00:22:13.580 --> 00:22:16.800]   有啲年青人同我分享點解會發生咗呢
[00:22:16.800 --> 00:22:18.560]   好多都係唔知點解會發生咗
[00:22:18.560 --> 00:22:23.320]   亦都唔係想發生但係就係發生咗,總之唔知點解
[00:22:23.320 --> 00:22:26.980]   咁我諗畀我一個提醒或者係畀我哋多一個提醒啦
[00:22:26.980 --> 00:22:32.560]   就係其實唔好高估咗自己嗰個嘅能力啦
[00:22:32.560 --> 00:22:35.360]   有一個嘅小故事啦就係
[00:22:35.360 --> 00:22:41.020]   喺一個有一個人就諗住去一個鄉村旅行啦
[00:22:41.020 --> 00:22:44.820]   咁佢個去個小村落呢就要經過一個山嘅
[00:22:44.820 --> 00:22:47.280]   而個山路呢就係好窄嘅
[00:22:47.280 --> 00:22:52.200]   咁佢就去嘗試去僱用一個的士司機啦
[00:22:52.200 --> 00:22:54.820]   邊個的士司機真係要最安全咁樣
[00:22:54.820 --> 00:22:57.700]   經過好窄嘅山路去到嗰條村莊啦
[00:22:57.700 --> 00:23:01.360]   咁佢就喺度問唔同嘅司機喺度等緊乘客嘛
[00:23:01.360 --> 00:23:06.740]   第一個司機就問你你你揸呢條山路嘅時候
[00:23:06.740 --> 00:23:09.820]   你可以揸成點樣呀
[00:23:09.820 --> 00:23:12.160]   司機一呢就話
[00:23:12.160 --> 00:23:17.780]   我可以離開個懸崖一呎都唔會跌落去嘅
[00:23:17.780 --> 00:23:20.360]   所以你放心啦你僱用我啦
[00:23:20.360 --> 00:23:22.080]   第二個司機就講啦
[00:23:22.080 --> 00:23:25.360]   我仲勁呀我可以離開個懸崖六呎呀
[00:23:25.360 --> 00:23:27.440]   六吋呀都唔會跌落去
[00:23:27.440 --> 00:23:31.360]   都可以安全咁樣將你去送抵達目的地
[00:23:31.360 --> 00:23:33.160]   司機三呢就話
[00:23:33.160 --> 00:23:37.360]   我仲勁我可以離個懸崖一吋
[00:23:37.360 --> 00:23:40.700]   都唔會跌落去將你送去目的地
[00:23:41.700 --> 00:23:43.700]   最後有個司機講話
[00:23:43.700 --> 00:23:52.700]   我會去嘗試每一分每一秒都係離開個懸崖越遠越好
[00:23:52.700 --> 00:23:58.700]   咁我唔知你係會揀邊個司機去車你去個小村莊呢
[00:23:58.700 --> 00:24:03.700]   一呎嗰個六吋一吋都唔會出事嗰個
[00:24:03.700 --> 00:24:08.700]   定話係佢每一分每一秒都係會離開個懸崖
[00:24:08.700 --> 00:24:12.700]   接住個山邊去揸車嗰個司機呢
[00:24:12.700 --> 00:24:16.700]   喺我哋嘅context裏面
[00:24:16.700 --> 00:24:21.700]   逃避又係指緊啲乜嘢呢
[00:24:21.700 --> 00:24:25.700]   你明知道如果有啲嘢係會arouse到你嘅
[00:24:25.700 --> 00:24:28.700]   你就唔好去接觸佢啦
[00:24:28.700 --> 00:24:31.700]   我知道而家喺你哋嘅世代裏面係好難
[00:24:31.700 --> 00:24:33.700]   或者我哋嘅世代啦
[00:24:33.700 --> 00:24:36.700]   其實我都會接觸到嘅
[00:24:36.700 --> 00:24:40.700]   我學校佢就教話而家嘅porn呢
[00:24:40.700 --> 00:24:44.700]   好容易接觸到嘅無論係刊物定話係一啲media嘅嘢
[00:24:44.700 --> 00:24:47.700]   佢話有四個a呀而家點解咁容易呢比起
[00:24:47.700 --> 00:24:50.700]   我嘅年代或者我爸爸媽媽年代更容易接觸到嘅
[00:24:50.700 --> 00:24:53.700]   佢話四個a喎因為而家係more acceptable
[00:24:53.700 --> 00:24:57.700]   即係好平常嘅呢啲接觸呢啲嘢
[00:24:57.700 --> 00:25:01.700]   接觸咗即係或者你做呢樣嘢其實都冇乜所謂啦
[00:25:01.700 --> 00:25:04.700]   第二個呢就係第二個a就係accessible
[00:25:04.700 --> 00:25:08.700]   好容易access到嘅以前可能我哋都要去買啲cd呀
[00:25:08.700 --> 00:25:12.700]   或者dvd咁樣你要去出街嘅咁但係而家其實
[00:25:12.700 --> 00:25:14.700]   撳一個掣你就會已經access到㗎啦
[00:25:14.700 --> 00:25:19.700]   第三個嘢就係more affordable其實而家係好平就可以接觸到㗎啦
[00:25:19.700 --> 00:25:24.700]   第四就係anonymous你接觸到都冇人知暗暗地做
[00:25:24.700 --> 00:25:29.700]   其實而家你哋嘅人有比起以前嘅人係更大嘅
[00:25:29.700 --> 00:25:32.700]   所以你要知道乜嘢會arouse到你嘅
[00:25:32.700 --> 00:25:36.700]   你就唔好去接近呢啲嘢啦
[00:25:36.700 --> 00:25:40.700]   如果係你喺一段嘅關係裏面
[00:25:40.700 --> 00:25:46.700]   你避免即係兩個人係一個即係私人嘅空間裏面啦
[00:25:46.700 --> 00:25:52.700]   或者係即係你可以同啲其他一班嘅朋友出嚟啦
[00:25:52.700 --> 00:25:55.700]   就係囉避免兩個人喺個私人空間啦
[00:25:55.700 --> 00:26:01.700]   又或者係有即係一啲弟兄姊妹啦佢就話你去
[00:26:01.700 --> 00:26:05.700]   佢自己畀佢一個男仔嚟嘅佢就話平時
[00:26:05.700 --> 00:26:10.700]   佢讓我自己去健康啲啦去做多啲運動咁佢
[00:26:10.700 --> 00:26:15.700]   就可能唔會成日去諗呢一類嘅嘢啦
[00:26:15.700 --> 00:26:18.700]   如果喺一段關係裏面
[00:26:18.700 --> 00:26:22.700]   我唔知你可能會唔會去同你嗰個嘅
[00:26:22.700 --> 00:26:26.700]   Partner男女朋友去祈禱呢
[00:26:26.700 --> 00:26:30.700]   即係如果你每一次嘅約會完咗
[00:26:30.700 --> 00:26:34.700]   或者你每一次嘅傾電話完咗之後你去咁樣同佢一齊去祈禱啦
[00:26:34.700 --> 00:26:39.700]   我覺得係會係避免到呢一樣嘢嘅發生嘅
[00:26:39.700 --> 00:26:44.700]   之前有一個人就
[00:26:44.700 --> 00:26:53.700]   就有一次啦咁就畀咗條頸呢個啦
[00:26:53.700 --> 00:26:57.700]   就係一個十字架啦即係其實當你對方
[00:26:57.700 --> 00:27:04.700]   去帶住一個十字架頸鏈你對帶住十字架頸鏈佢又帶住十字架頸鏈嘅時候
[00:27:04.700 --> 00:27:09.700]   其實都係一個Reminder啦當你知道耶穌係喺呢個關係中間
[00:27:09.700 --> 00:27:14.700]   你就唔會去咁容易去行入呢啲嘅人有裏面啦
[00:27:14.700 --> 00:27:18.700]   最後就Irene牧師啦佢成日都話拍拖就要話畀佢聽
[00:27:18.700 --> 00:27:23.700]   咁呀所以你哋如果當中邊個即係係Explorer裏面拍拖啦你都可以話畀佢聽
[00:27:23.700 --> 00:27:27.700]   即係咁樣係有啲咩好處呢就係去Keep you accountable
[00:27:27.700 --> 00:27:33.700]   等牧者或者導師去知道你而家係一個Relationship裏面咁可能你都會有一個嘅警惕
[00:27:33.700 --> 00:27:38.700]   令到自己唔好去真係陷入喺呢啲嘅狀況裏面呀
[00:27:38.700 --> 00:27:45.700]   所以你可以去搵佢嘅到最後嘅一樣嘢啦
[00:27:45.700 --> 00:27:50.700]   真係想同大家分享就係其實有好多時呢我發現自己啦
[00:27:50.700 --> 00:27:58.700]   喺我嘅人生裏面通常我犯罪去Sin against God啦都係我想Please我自己多過去Please神
[00:27:58.700 --> 00:28:05.700]   而喺呢一段經文一開始就係我哋點樣可以行一個討神喜悅嘅修命呢
[00:28:05.700 --> 00:28:12.700]   可能你會覺得呢個教導真係好老土可能你會覺得過時可能你覺得唔明白或者唔同意
[00:28:12.700 --> 00:28:18.700]   但係你記得一樣嘢啦即係每一次你做一樣嘢嘅時候
[00:28:18.700 --> 00:28:24.700]   你係會想Please你自己多啲定Please神多啲呢
[00:28:24.700 --> 00:28:32.700]   其實神去設立一啲Standard畀我哋唔係想我哋唔開心唔係想我哋有個Miserable life
[00:28:32.700 --> 00:28:36.700]   而係佢知道呢一樣嘢係對我哋好
[00:28:36.700 --> 00:28:40.700]   雖然好多時我哋今日有啲嘢唔同意或者唔明白
[00:28:40.700 --> 00:28:46.700]   但係我都請你相信去遵從神同埋信佢係值得嘅
[00:28:46.700 --> 00:28:54.700]   因為神係我哋佢愛我哋佢知道比我哋更清楚知道乜嘢對我哋好
[00:28:54.700 --> 00:28:59.700]   而且佢心裏面時常都係有我哋嘅Best Interest喺度
[00:28:59.700 --> 00:29:04.700]   佢最清楚知道乜嘢我哋應該做同埋唔應該做
[00:29:04.700 --> 00:29:15.700]   所以今日即使你覺得係可能比較過時或者身邊嘅人覺得過時
[00:29:15.700 --> 00:29:26.700]   但係我哋做為一個群體都係去一齊去互相提醒大家去活出神嗰個嘅標準同埋佢嗰個嘅聖潔
[00:29:26.700 --> 00:29:33.700]   最後我知道今日講咗好多嘢啦即係關於Sexual Immorality 聖潔呢啲嘢
[00:29:33.700 --> 00:29:42.700]   或者我哋當中有人可能都真係做過一啲嘢心裏面你覺得內疚或者唔開心
[00:29:42.700 --> 00:29:49.700]   但係我覺得今日都想同大家講即使係有啲嘢你發生過嘅
[00:29:49.700 --> 00:29:55.700]   即係神同你講佢明白 and it's okay
[00:29:55.700 --> 00:30:02.700]   你做過嘅所有嘢我有一句好鍾意就係佢話
[00:30:02.700 --> 00:30:05.700]   There is nothing you have done that can make God love you more
[00:30:05.700 --> 00:30:10.700]   And there is also nothing you have done that can make him love you less
[00:30:10.700 --> 00:30:16.700]   無論你今日去做過啲乜嘢唔會阻礙神愛你有幾多
[00:30:16.700 --> 00:30:21.700]   亦都唔會阻礙神喺你生命裏面嗰個嘅旨意
[00:30:21.700 --> 00:30:29.700]   不過今日無論係乜嘢嘅狀況我都好想你去我哋一齊去 come to God and say
[00:30:29.700 --> 00:30:37.700]   即使你做過啦真係神呀真係係我以前去可能得罪過你真係犯過罪
[00:30:37.700 --> 00:30:46.700]   但係今日我願意去將我嘅關係我所有嘅desires去畀你去管理
[00:30:46.700 --> 00:30:50.700]   求主你去 guard my heart and protect me
[00:30:51.700 --> 00:30:59.700]   今日就係我對大家嘅勉勵其實好多時大家都知道聖經上嘅教導
[00:30:59.700 --> 00:31:05.700]   不過就可能好難喺我哋呢個世界上面去行出嚟
[00:31:05.700 --> 00:31:09.700]   大神呼召我哋去成為聖傑亦都係同世界唔一樣
[00:31:09.700 --> 00:31:14.700]   所以我哋就一齊去咁樣去為神擺上
[00:31:14.700 --> 00:31:19.700]   咁樣去一齊去努力去活出一個神喜悅嘅生命
[00:31:19.700 --> 00:31:21.700]   我哋一齊祈禱
[00:31:21.700 --> 00:31:26.700]   青天賦滿力感謝你去用重價去買我哋
[00:31:26.700 --> 00:31:31.700]   呼召我哋出嚟去成為聖傑
[00:31:31.700 --> 00:31:34.700]   去 be separated from the world
[00:31:34.700 --> 00:31:39.700]   主呀呢個係一個嘅恩典主求你去讓我哋去睇你嘅 rules
[00:31:39.700 --> 00:31:45.700]   唔係一啲去令我哋去 miserable嘅事情
[00:31:45.700 --> 00:31:50.700]   或者係令到我哋 to have a boring life
[00:31:50.700 --> 00:31:53.700]   但係呢個係神你係為著我哋嘅好處
[00:31:53.700 --> 00:31:57.700]   你比我哋更清楚明白乜嘢係對我哋好
[00:31:57.700 --> 00:32:02.700]   主呀就求你去讓我哋縱然可能有時有啲嘢唔同意
[00:32:02.700 --> 00:32:04.700]   或者縱然有時好多嘢唔明白
[00:32:04.700 --> 00:32:08.700]   但我哋都唔去懷疑你喺我哋生命裏面嗰份好
[00:32:08.700 --> 00:32:10.700]   你對我哋嘅旨意嗰個嘅好
[00:32:10.700 --> 00:32:13.700]   主呀都求你去幫助我哋 explore
[00:32:13.700 --> 00:32:17.700]   每一位都喺你裏面去活出聖結
[00:32:17.700 --> 00:32:20.700]   去過一個蒙你喜悅嘅生命
[00:32:20.700 --> 00:32:24.700]   主呀求你去真係去 guard our hearts
[00:32:24.700 --> 00:32:26.700]   同埋去 protect us from all the temptations
[00:32:26.700 --> 00:32:28.700]   In Jesus name we pray
[00:32:28.700 --> 00:32:29.700]   - Thank you.

