
[00:00:00.000 --> 00:00:04.800]  我今天給的題目是spiritual talking
[00:20:03.160 --> 00:20:07.160]  我想保羅在說的是一種心態
[00:20:07.160 --> 00:20:11.160]  不是不思考地上的事
[00:20:11.160 --> 00:20:14.160]  而是我們過份去思念地上的事
[00:20:14.160 --> 00:20:16.160]  去顧及地上的事
[00:20:16.160 --> 00:20:19.160]  而忘記了天上的事
[00:20:19.160 --> 00:20:20.160]  其實說真的
[00:20:20.160 --> 00:20:22.160]  讀書作為一個學生
[00:20:22.160 --> 00:20:24.160]  去fulfill 神給你的那份
[00:20:24.160 --> 00:20:26.160]  去完成你的責任
[00:20:26.160 --> 00:20:27.160]  去好好讀書
[00:20:27.160 --> 00:20:29.160]  其實都是好的
[00:20:29.160 --> 00:20:30.160]  這件事是好的
[00:20:30.160 --> 00:20:34.160]  我自己小時候也是不停地讀書
[00:20:34.160 --> 00:20:36.160]  不過小時候我不認識神
[00:20:36.160 --> 00:20:38.160]  沒有回教會這回事
[00:20:38.160 --> 00:20:40.160]  但其實我覺得是好的
[00:20:40.160 --> 00:20:43.160]  你去運用神給你的才幹
[00:20:43.160 --> 00:20:46.160]  你的能力去活出你的那份
[00:20:46.160 --> 00:20:48.160]  好好地讀書是好的
[00:20:48.160 --> 00:20:50.160]  如果是
[00:20:50.160 --> 00:20:52.160]  那保羅是什麼意思呢
[00:20:53.160 --> 00:20:54.160]  他在說
[00:20:54.160 --> 00:20:56.160]  其實無論你做什麼都好
[00:20:56.160 --> 00:20:57.160]  讀書也好
[00:20:57.160 --> 00:20:58.160]  去打比賽也好
[00:20:58.160 --> 00:20:59.160]  其實你要有一個
[00:20:59.160 --> 00:21:01.160]  heaven-centric view
[00:21:01.160 --> 00:21:03.160]  什麼叫思念上面的事
[00:21:03.160 --> 00:21:06.160]  就是當你每一樣在地上做的事
[00:21:06.160 --> 00:21:07.160]  你不要忘記上面
[00:21:07.160 --> 00:21:10.160]  你要有一個天上的意識
[00:21:10.160 --> 00:21:14.160]  去做你每一件在地上
[00:21:14.160 --> 00:21:17.160]  你正在strive的事
[00:21:17.160 --> 00:21:19.160]  譬如你去
[00:21:19.160 --> 00:21:21.160]  如果你想做醫生
[00:21:21.160 --> 00:21:22.160]  我在座很多人
[00:21:22.160 --> 00:21:25.160]  我知道很想去做醫生
[00:21:25.160 --> 00:21:26.160]  你心裏面
[00:21:26.160 --> 00:21:28.160]  什麼叫顧念天上的事
[00:21:28.160 --> 00:21:29.160]  就是你心裏面想到
[00:21:29.160 --> 00:21:30.160]  不是有一天
[00:21:30.160 --> 00:21:31.160]  你在醫生的時候
[00:21:31.160 --> 00:21:34.160]  不只是去醫人的身體
[00:21:34.160 --> 00:21:35.160]  你會不會心裏面
[00:21:35.160 --> 00:21:36.160]  有一個意念
[00:21:36.160 --> 00:21:38.160]  或者有一個intention就是
[00:21:38.160 --> 00:21:40.160]  都去醫人的soul
[00:21:40.160 --> 00:21:42.160]  醫人的靈魂
[00:21:42.160 --> 00:21:44.160]  如果你是一個architect
[00:21:44.160 --> 00:21:46.160]  你不要就這樣去建築
[00:21:46.160 --> 00:21:47.160]  一些建築物
[00:21:47.160 --> 00:21:49.160]  而是你都去建立
[00:21:49.160 --> 00:21:51.160]  你身邊的人的生命
[00:21:51.160 --> 00:21:53.160]  如果你去
[00:21:53.160 --> 00:21:55.160]  你是一個鋼琴家
[00:21:55.160 --> 00:21:59.160]  你不要就這樣去彈出一些音樂
[00:21:59.160 --> 00:22:01.160]  你會不會是為神去彈
[00:22:01.160 --> 00:22:03.160]  如果你是打空手道
[00:22:03.160 --> 00:22:04.160]  打拳賽的
[00:22:04.160 --> 00:22:05.160]  你今天去想
[00:22:05.160 --> 00:22:08.160]  就是你去為神去爭戰
[00:22:08.160 --> 00:22:10.160]  還有當你打的時候
[00:22:10.160 --> 00:22:11.160]  好像是一個很暴力
[00:22:11.160 --> 00:22:13.160]  人看來很暴力的東西
[00:22:13.160 --> 00:22:16.160]  但是你怎樣可以在這些事當中
[00:22:16.160 --> 00:22:20.160]  去以神的性情去打
[00:22:20.160 --> 00:22:25.160]  最後我想說
[00:22:25.160 --> 00:22:27.160]  為什麼不要
[00:22:27.160 --> 00:22:28.160]  你們一定經常問為什麼
[00:22:28.160 --> 00:22:31.160]  為什麼不要focus
[00:22:31.160 --> 00:22:33.160]  就是不要放在地球上的事
[00:22:33.160 --> 00:22:36.160]  很簡單的原因就是
[00:22:36.160 --> 00:22:39.160]  因為這些事都會過去
[00:22:39.160 --> 00:22:42.160]  唯有天上的事
[00:22:42.160 --> 00:22:44.160]  是可以傳到永遠
[00:22:45.160 --> 00:22:49.160]  最後說一個很短的例子
[00:22:49.160 --> 00:22:52.160]  有沒有人看過這條片
[00:22:52.160 --> 00:22:56.160]  在幾年前
[00:22:56.160 --> 00:22:58.160]  我看過第一次
[00:22:58.160 --> 00:23:00.160]  都很感動
[00:23:00.160 --> 00:23:04.160]  這是一個大學生
[00:23:04.160 --> 00:23:06.160]  他叫做Karl Martin
[00:23:06.160 --> 00:23:09.160]  是King's Academy裏面的一個學生
[00:23:09.160 --> 00:23:10.160]  我想他很厲害
[00:23:10.160 --> 00:23:15.160]  他說他在畢業典禮上
[00:23:15.160 --> 00:23:19.160]  他代表所有畢業生去演講
[00:23:19.160 --> 00:23:21.160]  這個角色其實要選的
[00:23:21.160 --> 00:23:23.160]  我想他可能是中學畢業
[00:23:23.160 --> 00:23:25.160]  可能你們的學校裏面
[00:23:25.160 --> 00:23:27.160]  都會有一個學生被選出來
[00:23:27.160 --> 00:23:31.160]  去為代表全體畢業生去致詞
[00:23:31.160 --> 00:23:33.160]  我知道神學院都會有
[00:23:33.160 --> 00:23:35.160]  他就說很想要
[00:23:35.160 --> 00:23:38.160]  很想要這個角色
[00:23:38.160 --> 00:23:41.160]  他說我努力去做
[00:23:41.160 --> 00:23:43.160]  我為它犧牲
[00:23:43.160 --> 00:23:45.160]  我為它壓力
[00:23:45.160 --> 00:23:47.160]  最後他說我成功了
[00:23:47.160 --> 00:23:50.160]  他說他很開心
[00:23:50.160 --> 00:23:56.160]  當他的名字被主席
[00:23:56.160 --> 00:23:59.160]  很高級的校長叫他出來
[00:23:59.160 --> 00:24:04.160]  Karl Martin你出來為所有畢業生致詞
[00:24:04.160 --> 00:24:06.160]  他走上台
[00:24:06.160 --> 00:24:08.160]  心裏面很開心
[00:24:08.160 --> 00:24:09.160]  很開心
[00:24:09.160 --> 00:24:12.160]  15秒
[00:24:12.160 --> 00:24:13.160]  但是
[00:24:13.160 --> 00:24:19.160]  他就說15秒之後
[00:24:19.160 --> 00:24:21.160]  第16秒
[00:24:21.160 --> 00:24:22.160]  第16秒他說
[00:24:22.160 --> 00:24:25.160]  你見到他身邊很多獎牌
[00:24:25.160 --> 00:24:27.160]  或者是一些榮譽
[00:24:27.160 --> 00:24:30.160]  他說我望著我身邊的一些榮譽
[00:24:30.160 --> 00:24:32.160]  那怎麼辦呢
[00:24:32.160 --> 00:24:34.160]  我以為我會開心到飛到上天
[00:24:34.160 --> 00:24:35.160]  但不是的
[00:24:35.160 --> 00:24:37.160]  第16秒我覺得
[00:24:37.160 --> 00:24:40.160]  什麼感覺都沒有了
[00:24:40.160 --> 00:24:41.160]  他說
[00:24:41.160 --> 00:24:44.160]  老實說我甚至不知道我期望什麼
[00:24:44.160 --> 00:24:48.160]  他是不是想著有很多的氣球升上天
[00:24:48.160 --> 00:24:51.160]  還是因為我這個成就
[00:24:51.160 --> 00:24:55.160]  令我所有的問題都會消失呢
[00:24:55.160 --> 00:24:56.160]  不是的
[00:24:56.160 --> 00:24:58.160]  沒有什麼事發生
[00:24:58.160 --> 00:25:00.160]  在第16秒之後
[00:25:00.160 --> 00:25:05.160]  他花了一整年力氣去拿這個位置
[00:25:05.160 --> 00:25:07.160]  但他以為是
[00:25:07.160 --> 00:25:09.160]  這意味著整個世界
[00:25:09.160 --> 00:25:10.160]  和所有的事物
[00:25:10.160 --> 00:25:13.160]  但原來只開心了15秒
[00:25:13.160 --> 00:25:15.160]  第16秒
[00:25:15.160 --> 00:25:19.160]  他覺得原來都是不外如是
[00:25:19.160 --> 00:25:21.160]  所以他就將自己的心路歷程
[00:25:21.160 --> 00:25:23.160]  告訴一班畢業生
[00:25:23.160 --> 00:25:28.160]  所有你覺得最重要的成就
[00:25:28.160 --> 00:25:31.160]  原來都是短暫的
[00:25:31.160 --> 00:25:32.160]  What can stay
[00:25:32.160 --> 00:25:36.160]  你不要讓你的第16秒的人生
[00:25:36.160 --> 00:25:39.160]  regret
[00:25:39.160 --> 00:25:40.160]  懊悔
[00:25:40.160 --> 00:25:41.160]  他說
[00:25:41.160 --> 00:25:43.160]  幸好我十幾二十歲
[00:25:43.160 --> 00:25:44.160]  我明白這個道理
[00:25:44.160 --> 00:25:46.160]  我不想我到50歲的時候
[00:25:46.160 --> 00:25:48.160]  我miss out了很多的人生
[00:25:48.160 --> 00:25:50.160]  到最後他說
[00:25:50.160 --> 00:25:52.160]  其實我miss out了很多的relationship
[00:25:52.160 --> 00:25:53.160]  我用了一年時間
[00:25:53.160 --> 00:25:55.160]  只顧著你這件事
[00:25:55.160 --> 00:25:56.160]  我不顧我朋友
[00:25:56.160 --> 00:25:58.160]  父母
[00:25:58.160 --> 00:26:00.160]  他說relationship是重要的
[00:26:00.160 --> 00:26:02.160]  我想我延伸一點
[00:26:02.160 --> 00:26:04.160]  其實對於我們所信的人來說
[00:26:04.160 --> 00:26:05.160]  什麼是重要
[00:26:05.160 --> 00:26:06.160]  他說relationship
[00:26:06.160 --> 00:26:09.160]  我想我們是和人的relationship
[00:26:09.160 --> 00:26:11.160]  和和神的relationship
[00:26:11.160 --> 00:26:14.160]  和天上的事
[00:26:14.160 --> 00:26:16.160]  做地上的事不要緊
[00:26:16.160 --> 00:26:18.160]  但你不要忘記了
[00:26:18.160 --> 00:26:22.160]  天上的事其實是重要的
[00:26:22.160 --> 00:26:24.160]  所以不要set your mind on earthly things
[00:26:24.160 --> 00:26:26.160]  because they will all pass
[00:26:26.160 --> 00:26:29.160]  and it doesn't mean anything to you
[00:26:29.160 --> 00:26:30.160]  in the 16 seconds
[00:26:30.160 --> 00:26:33.160]  你自己interpret什麼叫16 seconds
[00:26:33.160 --> 00:26:36.160]  所以
[00:26:36.160 --> 00:26:40.160]  conclusion就是
[00:26:40.160 --> 00:26:43.160]  seek things above
[00:26:43.160 --> 00:26:45.160]  和set your mind on the things above
[00:26:45.160 --> 00:26:47.160]  其實這件事
[00:26:47.160 --> 00:26:50.160]  當保羅寫這篇經文的時候
[00:26:50.160 --> 00:26:53.160]  是present tense
[00:26:53.160 --> 00:26:54.160]  不是只是
[00:26:54.160 --> 00:26:55.160]  我信那一刻
[00:26:55.160 --> 00:26:56.160]  I seek the things above
[00:26:56.160 --> 00:26:58.160]  and then that's it
[00:26:58.160 --> 00:27:04.160]  這是一個持續的一件事
[00:27:04.160 --> 00:27:06.160]  Every day, every moment
[00:27:06.160 --> 00:27:08.160]  Look up, seek the things above
[00:27:08.160 --> 00:27:11.160]  這件事會給你一種安穩
[00:27:11.160 --> 00:27:15.160]  會給你在面對人生問題的時候
[00:27:15.160 --> 00:27:16.160]  你會找到答案
[00:27:16.160 --> 00:27:17.160]  一種安定
[00:27:17.160 --> 00:27:19.160]  還有在
[00:27:19.160 --> 00:27:22.160]  你有一天遇到世界很多的temptation
[00:27:22.160 --> 00:27:23.160]  大學
[00:27:23.160 --> 00:27:25.160]  一出來工作
[00:27:25.160 --> 00:27:26.160]  很多的衝擊
[00:27:26.160 --> 00:27:29.160]  但是你怎樣在這些衝擊的時候
[00:27:29.160 --> 00:27:30.160]  不要回頭
[00:27:30.160 --> 00:27:31.160]  不要走你的舊路
[00:27:31.160 --> 00:27:33.160]  繼續去仰望神
[00:27:33.160 --> 00:27:34.160]  望著上面
[00:27:34.160 --> 00:27:36.160]  我們一生有個祈禱
[00:27:36.160 --> 00:27:37.160]  親愛的天父感謝你
[00:27:37.160 --> 00:27:39.160]  你呼召我們
[00:27:39.160 --> 00:27:41.160]  以致我們的眼目
[00:27:41.160 --> 00:27:43.160]  可以有一個定位
[00:27:43.160 --> 00:27:45.160]  我們不是在世界裡周圍看
[00:27:45.160 --> 00:27:48.160]  而是我們可以去seek you
[00:27:48.160 --> 00:27:49.160]  可以望著你
[00:27:49.160 --> 00:27:50.160]  當我們望著你的時候
[00:27:50.160 --> 00:27:53.160]  我們心裡就有一份安定穩定
[00:27:53.160 --> 00:27:55.160]  因為我們知道你掌權
[00:27:55.160 --> 00:27:58.160]  And then you gotta handle our problems
[00:27:58.160 --> 00:28:01.160]  主啊,求你讓我們在人生的路上
[00:28:01.160 --> 00:28:03.160]  選擇你
[00:28:03.160 --> 00:28:04.160]  去look up
[00:28:04.160 --> 00:28:06.160]  即使是很難
[00:28:06.160 --> 00:28:07.160]  或者是
[00:28:07.160 --> 00:28:09.160]  我很想用自己的方法解決的時候
[00:28:09.160 --> 00:28:11.160]  主啊,提醒我們
[00:28:11.160 --> 00:28:14.160]  你是我們唯一的solution
[00:28:14.160 --> 00:28:16.160]  你是the source of life
[00:28:16.160 --> 00:28:18.160]  the source of hope
[00:28:18.160 --> 00:28:19.160]  and the source of peace
[00:28:19.160 --> 00:28:21.160]  and the source of our freedom
[00:28:21.160 --> 00:28:23.160]  主啊,繼續幫助我們
[00:28:23.160 --> 00:28:26.160]  在每件事裡選擇你
[00:28:26.160 --> 00:28:27.160]  感謝你聽我們祈禱
[00:28:27.160 --> 00:28:29.160]  以上都是奉主耶穌基督的聖名祈求
[00:28:29.160 --> 00:28:30.160]  Amen
[00:28:30.160 --> 00:28:33.160]  (字幕由 Amara.org 社群提供)

