
[00:00:00.000 --> 00:00:03.320]   So that's the announcements.
[00:22:26.240 --> 00:22:31.120]   long delayed period of time, the master comes back.
[00:22:31.120 --> 00:22:36.560]   The 5,000, 2,000, they gave double of the asset.
[00:22:36.560 --> 00:22:39.880]   The 1,000 are being cast away.
[00:22:39.880 --> 00:22:44.200]   Not prepared to give an account.
[00:22:44.200 --> 00:22:47.560]   Wasted the talent that the master has given him.
[00:22:47.560 --> 00:22:52.160]   Now again, it's using the first century context
[00:22:52.160 --> 00:22:53.320]   to tell the parable.
[00:22:54.240 --> 00:22:58.720]   But the essence, the teaching is easy to grasp.
[00:22:58.720 --> 00:23:05.360]   Is that God has given us and entrusted talents
[00:23:05.360 --> 00:23:07.640]   and treasures into our lives.
[00:23:07.640 --> 00:23:12.160]   Are we, in light of his coming,
[00:23:12.160 --> 00:23:16.320]   are we investing and doing everything we can
[00:23:16.320 --> 00:23:21.060]   to increase the asset of the master's property?
[00:23:23.400 --> 00:23:25.760]   As we build the church together,
[00:23:25.760 --> 00:23:27.880]   as we preach the gospel,
[00:23:27.880 --> 00:23:30.760]   as we build up our spiritual life, right,
[00:23:30.760 --> 00:23:32.960]   become more mature disciples,
[00:23:32.960 --> 00:23:35.960]   we're building up the asset of the master.
[00:23:35.960 --> 00:23:39.560]   We're building up the kingdom of God, right?
[00:23:39.560 --> 00:23:43.400]   And trusted with the talent.
[00:23:43.400 --> 00:23:48.200]   You and I need to work to increase the value of the kingdom.
[00:23:49.760 --> 00:23:53.960]   The last parable, the sheep and the goats.
[00:23:53.960 --> 00:23:57.560]   Yes, when Christ comes again,
[00:23:57.560 --> 00:24:00.240]   he is the shepherd.
[00:24:00.240 --> 00:24:02.060]   He can separate.
[00:24:02.060 --> 00:24:07.060]   He can tell who is real and who is not real question.
[00:24:07.060 --> 00:24:14.920]   No, it's easy to look like a question, right?
[00:24:14.920 --> 00:24:19.040]   I mean, don't you know if you've been to church
[00:24:19.040 --> 00:24:22.920]   for some time, you can act like a question.
[00:24:22.920 --> 00:24:28.040]   And maybe you act like a question to the point
[00:24:28.040 --> 00:24:30.320]   that you thought you were really a question.
[00:24:30.320 --> 00:24:35.200]   Because it's easy to just follow a script, right?
[00:24:35.200 --> 00:24:39.520]   Sing the song, right?
[00:24:39.520 --> 00:24:40.360]   It's very easy.
[00:24:40.360 --> 00:24:44.160]   Most of the songs that the leaders are leading us
[00:24:44.160 --> 00:24:46.800]   are usually easy to follow.
[00:24:47.960 --> 00:24:50.200]   We can all sing, right?
[00:24:50.200 --> 00:24:53.520]   We can all pray the same prayers, right?
[00:24:53.520 --> 00:24:56.680]   We can all read the same Bible.
[00:24:56.680 --> 00:25:02.840]   We can all do many things, right?
[00:25:02.840 --> 00:25:05.840]   But externally, we look the same.
[00:25:05.840 --> 00:25:12.060]   However, at the core, we need to confront ourselves
[00:25:12.060 --> 00:25:14.520]   whether we are acting like a question
[00:25:15.840 --> 00:25:18.760]   or are we being a question.
[00:25:18.760 --> 00:25:21.320]   It's not about doing.
[00:25:21.320 --> 00:25:25.200]   It's our internal being,
[00:25:25.200 --> 00:25:30.200]   whether we really have a personal saving relationship
[00:25:30.200 --> 00:25:34.680]   with our Lord Jesus Christ, right?
[00:25:34.680 --> 00:25:37.600]   And that's why Good Friday is so important.
[00:25:37.600 --> 00:25:40.440]   Because one day each year,
[00:25:41.460 --> 00:25:45.620]   it's not a meaningless routine or ritual
[00:25:45.620 --> 00:25:50.460]   that we just go with the motion
[00:25:50.460 --> 00:25:52.980]   and thought that we're okay.
[00:25:52.980 --> 00:25:58.660]   Good Friday, why do we call Good Friday?
[00:25:58.660 --> 00:26:02.620]   But what's so good because a man die on the cross, right?
[00:26:02.620 --> 00:26:04.120]   There's nothing good about it.
[00:26:04.120 --> 00:26:06.460]   But if you think about it,
[00:26:06.460 --> 00:26:11.460]   what the Son of God has done on the cross,
[00:26:11.460 --> 00:26:16.900]   it is good for you who receive.
[00:26:16.900 --> 00:26:19.500]   It's good for me.
[00:26:19.500 --> 00:26:24.500]   It's grace for me that I can be called
[00:26:24.500 --> 00:26:26.420]   the son or daughter of God.
[00:26:26.420 --> 00:26:30.020]   It's a reflection time,
[00:26:30.020 --> 00:26:33.820]   it's a time of reminder to confront ourselves
[00:26:33.820 --> 00:26:35.740]   whether our call is real.
[00:26:36.620 --> 00:26:38.140]   Right?
[00:26:38.140 --> 00:26:41.260]   You know, in many other parables in the book of Matthew,
[00:26:41.260 --> 00:26:46.620]   Jesus said in the last day, when Jesus comes back,
[00:26:46.620 --> 00:26:51.660]   there were many who approach Jesus and say,
[00:26:51.660 --> 00:26:53.860]   "I know you, I serve you,
[00:26:53.860 --> 00:26:56.780]   "I even cast out a demon in your name."
[00:26:56.780 --> 00:26:57.620]   Right?
[00:26:57.620 --> 00:27:00.260]   You know what did Jesus say?
[00:27:00.260 --> 00:27:04.700]   He said, "I don't know you."
[00:27:05.700 --> 00:27:09.740]   Because not everyone call me Lord, Lord,
[00:27:09.740 --> 00:27:11.260]   will enter the kingdom.
[00:27:11.260 --> 00:27:15.540]   Only those who listen to my word and do my will,
[00:27:15.540 --> 00:27:18.260]   and they will be wise.
[00:27:18.260 --> 00:27:21.420]   They will be wise and they will be ready
[00:27:21.420 --> 00:27:23.260]   to come into the kingdom.
[00:27:23.260 --> 00:27:29.020]   So four parables, one after another,
[00:27:29.020 --> 00:27:32.380]   and trying to push us, trying to confront us
[00:27:32.380 --> 00:27:34.340]   with the ultimate question of life.
[00:27:35.100 --> 00:27:36.420]   Right?
[00:27:36.420 --> 00:27:39.060]   Whether we are truly related to God,
[00:27:39.060 --> 00:27:44.060]   whether we are ready and prepared for the kingdom.
[00:27:44.060 --> 00:27:48.780]   Last time I asked you the three Ts,
[00:27:48.780 --> 00:27:55.060]   your time, your treasure, and your talent.
[00:27:55.060 --> 00:27:58.660]   Where is your heart?
[00:27:58.660 --> 00:28:04.140]   You know, Jesus said where your treasure is,
[00:28:04.140 --> 00:28:05.620]   where your heart is, right?
[00:28:05.620 --> 00:28:08.780]   You can lie to yourself.
[00:28:08.780 --> 00:28:11.700]   Where's your time?
[00:28:11.700 --> 00:28:14.220]   Do you manage your time well?
[00:28:14.220 --> 00:28:18.860]   So that you can use your time to extend,
[00:28:18.860 --> 00:28:22.660]   to increase, to extend the kingdom of God.
[00:28:22.660 --> 00:28:26.940]   Your talents, right?
[00:28:26.940 --> 00:28:29.660]   Every one of us has talent, right?
[00:28:29.660 --> 00:28:33.220]   Some of us have $5,000, some of us have $2,000,
[00:28:33.220 --> 00:28:36.780]   some have $1,000, but there's no comparison here.
[00:28:36.780 --> 00:28:39.620]   Because remember what the parable says, right?
[00:28:39.620 --> 00:28:43.420]   The one who received $5,000 gave $5,000, double.
[00:28:43.420 --> 00:28:46.300]   The other one who received $2,000 gave doubles,
[00:28:46.300 --> 00:28:49.500]   that's $4,000, right?
[00:28:49.500 --> 00:28:52.180]   God is calling us not to be a fanfare.
[00:28:52.180 --> 00:28:56.740]   God is calling us to be faithful, right?
[00:28:56.740 --> 00:28:58.940]   Faithful to what he entrusts to us.
[00:29:00.700 --> 00:29:03.180]   So these questions I give it to you.
[00:29:03.180 --> 00:29:08.420]   Let's be prayerful and be reminded,
[00:29:08.420 --> 00:29:10.820]   are we truly related to Jesus Christ?
[00:29:10.820 --> 00:29:12.380]   Are we listening?
[00:29:12.380 --> 00:29:14.060]   Are we doing his will?
[00:29:14.060 --> 00:29:16.340]   Are we prepared for his return?
[00:29:16.340 --> 00:29:19.380]   Let's all pray together.
[00:29:19.380 --> 00:29:27.740]   Jesus, you are the son of God.
[00:29:29.500 --> 00:29:31.020]   The glorious son of God.
[00:29:31.020 --> 00:29:36.380]   And you will return someday, unexpectedly.
[00:29:36.380 --> 00:29:39.500]   You will come.
[00:29:39.500 --> 00:29:43.540]   Because we know that you came.
[00:29:43.540 --> 00:29:46.180]   You came the first time.
[00:29:46.180 --> 00:29:52.060]   To die on the cross, to raise from the dead,
[00:29:52.060 --> 00:29:56.060]   to accomplish salvation, the glorious salvation
[00:29:56.060 --> 00:29:57.980]   for all of us who believe.
[00:29:59.260 --> 00:30:00.540]   Yes, you came.
[00:30:00.540 --> 00:30:05.260]   That's why we know you will come.
[00:30:05.260 --> 00:30:08.780]   According to your word and promises,
[00:30:08.780 --> 00:30:13.460]   your second coming will happen anytime.
[00:30:13.460 --> 00:30:17.140]   Or we will see you anytime.
[00:30:17.140 --> 00:30:23.420]   And Jesus remind us to be your faithful and wise servant.
[00:30:23.420 --> 00:30:27.940]   Help us to examine what we have,
[00:30:27.940 --> 00:30:30.180]   our time, our talent, our treasure.
[00:30:30.180 --> 00:30:37.940]   Help us to ask the question,
[00:30:37.940 --> 00:30:42.580]   are we using all that you have entrusted to us
[00:30:42.580 --> 00:30:44.860]   to increase the asset of your kingdom?
[00:30:44.860 --> 00:30:50.100]   To help extend, advance your kingdom.
[00:30:50.100 --> 00:30:57.820]   Jesus, help us to be alert and to be watchful
[00:30:57.820 --> 00:30:58.660]   at all time.
[00:30:58.660 --> 00:31:04.340]   Live every single one of our days
[00:31:04.340 --> 00:31:06.340]   responsibly and faithfully.
[00:31:06.340 --> 00:31:11.060]   To do all things that will be pleasing to you.
[00:31:11.060 --> 00:31:16.580]   May you continue to grow our faith and grow our church
[00:31:16.580 --> 00:31:21.220]   so that your name will be exalted in Christ's name we pray.
[00:31:21.220 --> 00:31:25.900]   All right, guys, hope to see you again soon.

