
[00:00:00.000 --> 00:00:03.000]  好,我們低頭,再次低頭禱告好嗎?
[00:20:12.000 --> 00:20:14.000]  都沒有人能夠推翻
[00:20:14.000 --> 00:20:17.000]  那麼最後你要做一個選擇
[00:20:17.000 --> 00:20:22.000]  我只是講一個大綱給大家聽
[00:20:22.000 --> 00:20:25.000]  歷史的證據是什麼
[00:20:25.000 --> 00:20:26.000]  耶穌的身體不見了
[00:20:26.000 --> 00:20:28.000]  無論是羅馬兵丁
[00:20:28.000 --> 00:20:30.000]  無論是猶太人
[00:20:30.000 --> 00:20:32.000]  無論是耶穌的門徒
[00:20:32.000 --> 00:20:34.000]  無論是當時的時代
[00:20:34.000 --> 00:20:37.000]  沒有人能夠將耶穌的身體
[00:20:37.000 --> 00:20:38.000]  他們說有人偷了
[00:20:38.000 --> 00:20:39.000]  有人怎麼
[00:20:39.000 --> 00:20:43.000]  沒有人能夠將那個身體拿出來
[00:20:43.000 --> 00:20:45.000]  那是不久的事情
[00:20:45.000 --> 00:20:46.000]  只是二千年
[00:20:46.000 --> 00:20:50.000]  人類歷史有長過那個時候
[00:20:50.000 --> 00:20:52.000]  另外一方面歷史的事實
[00:20:52.000 --> 00:20:55.000]  耶穌復活之後向人顯現
[00:20:55.000 --> 00:20:56.000]  向個人顯現
[00:20:56.000 --> 00:20:57.000]  向羣體顯現
[00:20:57.000 --> 00:21:00.000]  有一次向五白人顯現
[00:21:00.000 --> 00:21:01.000]  第三方面
[00:21:01.000 --> 00:21:04.000]  耶穌的門徒見到復活的主之後
[00:21:04.000 --> 00:21:06.000]  整個生命改變
[00:21:06.000 --> 00:21:09.000]  而且願意爲着這個復活的主
[00:21:09.000 --> 00:21:16.000]  願意殉道
[00:21:16.000 --> 00:21:22.000]  沒有一個人願意爲自己的反話去殉道的
[00:21:22.000 --> 00:21:23.000]  沒有一個人
[00:21:23.000 --> 00:21:25.000]  你可以爲着你的理想
[00:21:25.000 --> 00:21:28.000]  你可以爲着其他的東西殉道
[00:21:28.000 --> 00:21:30.000]  但是沒有一個人那麼笨
[00:21:30.000 --> 00:21:34.000]  爲着自己都不相信的事去殉道
[00:21:34.000 --> 00:21:37.000]  但是除了斯使約翰之外
[00:21:37.000 --> 00:21:40.000]  每一個耶穌的門徒
[00:21:40.000 --> 00:21:43.000]  都是爲耶穌殉道的
[00:21:43.000 --> 00:21:45.000]  都是被人殺的
[00:21:45.000 --> 00:21:47.000]  沒有那麼笨
[00:21:47.000 --> 00:21:48.000]  歷史的證據有
[00:21:48.000 --> 00:21:49.000]  當時人的證據有
[00:21:49.000 --> 00:21:51.000]  歷史學家的證據
[00:21:51.000 --> 00:21:53.000]  聖經的預言有
[00:21:53.000 --> 00:21:54.000]  舊約的預言有
[00:21:54.000 --> 00:21:55.000]  新約的預言有
[00:21:55.000 --> 00:21:59.000]  死海骨卷的證據
[00:21:59.000 --> 00:22:01.000]  耶穌基督復活有
[00:22:01.000 --> 00:22:03.000]  現在我們紀念主日
[00:22:03.000 --> 00:22:05.000]  以前是安息日
[00:22:05.000 --> 00:22:07.000]  後來因爲耶穌復活的時候
[00:22:07.000 --> 00:22:09.000]  因爲第三天覆活
[00:22:09.000 --> 00:22:10.000]  那麼他們就
[00:22:10.000 --> 00:22:14.000]  現在我們基督徒就改爲在主日去敬拜主
[00:22:14.000 --> 00:22:17.000]  聖餐是耶穌所立的
[00:22:17.000 --> 00:22:20.000]  紀念祂的死跟祂的復活
[00:22:20.000 --> 00:22:23.000]  洗禮是羅馬書第六章
[00:22:23.000 --> 00:22:27.000]  我們與基督的死跟活復活一同聯合
[00:22:27.000 --> 00:22:29.000]  如果沒有這個真實的東西
[00:22:29.000 --> 00:22:30.000]  沒有耶穌復活
[00:22:30.000 --> 00:22:32.000]  這個是多餘的
[00:22:32.000 --> 00:22:34.000]  實際上的榮耀
[00:22:34.000 --> 00:22:38.000]  本來是一個羞恥的一個記號
[00:22:38.000 --> 00:22:40.000]  但是現在全世界各處地方
[00:22:40.000 --> 00:22:42.000]  教堂也好
[00:22:42.000 --> 00:22:44.000]  Red Cross也好
[00:22:44.000 --> 00:22:46.000]  很多的國家的旗都好
[00:22:46.000 --> 00:22:47.000]  都有個實際價
[00:22:47.000 --> 00:22:50.000]  是源於這個原因的
[00:22:50.000 --> 00:22:51.000]  教會的興起
[00:22:51.000 --> 00:22:53.000]  今天給你教會興起
[00:22:53.000 --> 00:22:56.000]  我們本來七十多人在南唐
[00:22:56.000 --> 00:22:57.000]  一個移民的教會
[00:22:57.000 --> 00:22:59.000]  現在差不多五百人
[00:22:59.000 --> 00:23:00.000]  一個個人信主
[00:23:00.000 --> 00:23:02.000]  你們的生命被改變
[00:23:02.000 --> 00:23:03.000]  是不是
[00:23:03.000 --> 00:23:05.000]  因爲歷世歷代
[00:23:05.000 --> 00:23:08.000]  哪裏有福音傳道
[00:23:08.000 --> 00:23:10.000]  哪裏就有教會興起
[00:23:10.000 --> 00:23:12.000]  無論是有什麼逼迫
[00:23:12.000 --> 00:23:14.000]  越是逼迫的地方
[00:23:14.000 --> 00:23:16.000]  過後越是大福興臨的
[00:23:16.000 --> 00:23:19.000]  好像中國一樣
[00:23:19.000 --> 00:23:22.000]  所以我現在回到只是講一點
[00:23:22.000 --> 00:23:24.000]  就是耶穌的身體不見了
[00:23:24.000 --> 00:23:25.000]  有人說
[00:23:25.000 --> 00:23:28.000]  爲什麼耶穌的身體不見了
[00:23:28.000 --> 00:23:33.000]  可能有他的門徒偷掉他
[00:23:33.000 --> 00:23:36.000]  可能有猶他人偷掉他
[00:23:36.000 --> 00:23:39.000]  可能有羅馬人偷掉這個屍體
[00:23:39.000 --> 00:23:43.000]  可能那個婦女看錯了墳墓
[00:23:43.000 --> 00:23:45.000]  找錯地方
[00:23:45.000 --> 00:23:47.000]  可能耶穌沒有死
[00:23:47.000 --> 00:23:50.000]  而且只是他昏迷而已
[00:23:50.000 --> 00:23:53.000]  安裝之後他醒過來就逃出去
[00:23:53.000 --> 00:23:55.000]  或者最後
[00:23:55.000 --> 00:24:00.000]  耶穌真的從死裏面復活了
[00:24:00.000 --> 00:24:01.000]  第一點
[00:24:01.000 --> 00:24:11.000]  門徒的屍體就是耶穌的身體被門徒偷去
[00:24:11.000 --> 00:24:12.000]  會嗎
[00:24:12.000 --> 00:24:14.000]  耶穌基督在禮拜五
[00:24:14.000 --> 00:24:16.000]  在實際上棄絕之後
[00:24:16.000 --> 00:24:21.000]  門徒就向羅馬神父比拉多求情
[00:24:21.000 --> 00:24:23.000]  取下耶穌的屍體
[00:24:23.000 --> 00:24:26.000]  然後安裝在耶穌的門徒月社
[00:24:26.000 --> 00:24:29.000]  剛剛弄好的石的墳墓裏面
[00:24:29.000 --> 00:24:31.000]  而且那個墳墓
[00:24:31.000 --> 00:24:38.000]  我去過看耶路撕冷那個墳墓
[00:24:38.000 --> 00:24:40.000]  它可以有一個坑
[00:24:40.000 --> 00:24:42.000]  然後有個大的石頭
[00:24:42.000 --> 00:24:44.000]  就是斜斜地滾下去
[00:24:44.000 --> 00:24:48.000]  然後將那個墓封好的
[00:24:48.000 --> 00:24:50.000]  你很難推上去的
[00:24:50.000 --> 00:24:52.000]  是這樣的
[00:24:52.000 --> 00:24:54.000]  而且有賓丁看守
[00:24:54.000 --> 00:24:57.000]  第三日就有幾個婦女來到耶穌的墓地
[00:24:57.000 --> 00:25:00.000]  她就看到那個石頭已經滾開了
[00:25:00.000 --> 00:25:04.000]  而且那個裹絲布留在那個地方
[00:25:04.000 --> 00:25:06.000]  而且聖經裏面講
[00:25:06.000 --> 00:25:08.000]  那個裹絲布是怎麼樣呢
[00:25:08.000 --> 00:25:11.000]  裹絲布不是那個散的
[00:25:11.000 --> 00:25:13.000]  好像脫掉了
[00:25:13.000 --> 00:25:14.000]  好像那個衣服掉在那裏
[00:25:14.000 --> 00:25:15.000]  不是
[00:25:15.000 --> 00:25:16.000]  好像什麼呢
[00:25:16.000 --> 00:25:18.000]  好像一個cocoon
[00:25:18.000 --> 00:25:21.000]  好像那個繭
[00:25:21.000 --> 00:25:23.000]  就是咬出來那個蟲
[00:25:23.000 --> 00:25:24.000]  好像蝴蝶
[00:25:24.000 --> 00:25:26.000]  咬那個cocoon
[00:25:26.000 --> 00:25:29.000]  那個頭巾在一處
[00:25:29.000 --> 00:25:31.000]  身體的布在一處
[00:25:31.000 --> 00:25:35.000]  好像那個心滑出來
[00:25:35.000 --> 00:25:36.000]  是這樣的
[00:25:36.000 --> 00:25:38.000]  這是記載來的
[00:25:38.000 --> 00:25:39.000]  好了
[00:25:39.000 --> 00:25:42.000]  那麼我們就是看一看
[00:25:42.000 --> 00:25:45.000]  有人說是門徒偷走嗎
[00:25:45.000 --> 00:25:47.000]  根據馬太福音哪裏講到
[00:25:47.000 --> 00:25:51.000]  馬太福音第28章11節到15節
[00:25:51.000 --> 00:25:53.000]  哪些猶太人的領袖啊
[00:25:53.000 --> 00:25:54.000]  祭祀跟長老
[00:25:54.000 --> 00:25:56.000]  聽到那個彬彬說
[00:25:56.000 --> 00:25:57.000]  耶穌的身體不見了
[00:25:57.000 --> 00:25:58.000]  他們怕得不得了
[00:25:58.000 --> 00:26:00.000]  立刻給遣那個彬彬說
[00:26:00.000 --> 00:26:01.000]  我告訴你們
[00:26:01.000 --> 00:26:02.000]  你們要這樣說
[00:26:02.000 --> 00:26:04.000]  我們晚上睡覺的時候
[00:26:04.000 --> 00:26:07.000]  他的門徒來把他偷走了
[00:26:07.000 --> 00:26:10.000]  如果你們的孫父聽見的時候
[00:26:10.000 --> 00:26:13.000]  我可以勸他保你們沒有事
[00:26:13.000 --> 00:26:15.000]  如果彬彬的壽了銀錢
[00:26:15.000 --> 00:26:17.000]  就照他們所吩咐的去行
[00:26:17.000 --> 00:26:19.000]  這話就傳到猶太人中間
[00:26:19.000 --> 00:26:20.000]  直到今天
[00:26:20.000 --> 00:26:25.000]  是馬太福音28章11到15節
[00:26:25.000 --> 00:26:27.000]  這是很厲害
[00:26:27.000 --> 00:26:28.000]  因爲是門徒說
[00:26:28.000 --> 00:26:29.000]  那個身體不見了
[00:26:29.000 --> 00:26:32.000]  然後他們說耶穌是復活了
[00:26:32.000 --> 00:26:34.000]  但是我們不能夠接受
[00:26:34.000 --> 00:26:35.000]  因爲第一
[00:26:35.000 --> 00:26:38.000]  這個邏輯上智商矛盾
[00:26:38.000 --> 00:26:41.000]  好像剛纔那個經文說
[00:26:41.000 --> 00:26:42.000]  守墓的彬彬
[00:26:42.000 --> 00:26:44.000]  如果醒過來的時候
[00:26:44.000 --> 00:26:48.000]  他們會不會給那些門徒偷走那些屍體啊
[00:26:48.000 --> 00:26:50.000]  可能嗎
[00:26:50.000 --> 00:26:53.000]  他們彬彬很強壯的
[00:26:53.000 --> 00:26:56.000]  如果好像那個領袖說
[00:26:56.000 --> 00:26:57.000]  彬彬都睡着了
[00:26:57.000 --> 00:26:59.000]  你們告訴人
[00:26:59.000 --> 00:27:01.000]  你們睡着的時候
[00:27:01.000 --> 00:27:03.000]  就是有他的門徒來偷走他
[00:27:03.000 --> 00:27:05.000]  如果一個人睡着的時候
[00:27:05.000 --> 00:27:09.000]  你怎麼知道是誰去偷了
[00:27:09.000 --> 00:27:12.000]  你怎麼知道是門徒去偷了
[00:27:12.000 --> 00:27:15.000]  智商矛盾
[00:27:15.000 --> 00:27:19.000]  第二,門徒有勇氣去偷嗎
[00:27:19.000 --> 00:27:22.000]  當耶穌被釘在十字架上的時候
[00:27:22.000 --> 00:27:27.000]  那麼多人來勢洶洶
[00:27:27.000 --> 00:27:31.000]  那麼只有約翰一個人在十字架底下
[00:27:31.000 --> 00:27:33.000]  其他的門徒怎麼樣
[00:27:33.000 --> 00:27:34.000]  都跑掉了
[00:27:34.000 --> 00:27:36.000]  他們哪裏有勇氣
[00:27:36.000 --> 00:27:38.000]  而且他們關自己在門裏面
[00:27:38.000 --> 00:27:39.000]  這是禱告而已
[00:27:39.000 --> 00:27:41.000]  怕得不得了
[00:27:41.000 --> 00:27:42.000]  他哪裏有
[00:27:42.000 --> 00:27:45.000]  而且他們也不明白
[00:27:45.000 --> 00:27:47.000]  這是復活這是什麼事
[00:27:47.000 --> 00:27:51.000]  他們也不太相信這回事
[00:27:51.000 --> 00:27:52.000]  所以不可能
[00:27:52.000 --> 00:27:55.000]  他們沒有這個勇氣
[00:27:55.000 --> 00:27:59.000]  還有就算他有個勇氣
[00:27:59.000 --> 00:28:02.000]  當你要偷東西的時候
[00:28:02.000 --> 00:28:05.000]  會否偷了耶穌的身體
[00:28:05.000 --> 00:28:07.000]  那個布解開了
[00:28:07.000 --> 00:28:09.000]  又將它捲回來
[00:28:09.000 --> 00:28:14.000]  有一次我們主日崇拜完了之後回家
[00:28:14.000 --> 00:28:17.000]  有很多人將我們所有的東西都偷了
[00:28:17.000 --> 00:28:19.000]  很多東西回家的時候
[00:28:19.000 --> 00:28:23.000]  等一下我不知道你回家會不會有人偷你東西
[00:28:23.000 --> 00:28:25.000]  不要怕
[00:28:25.000 --> 00:28:27.000]  但是我不相信他偷完東西
[00:28:27.000 --> 00:28:32.000]  將他弄得亂亂的東西給你好好的放回原處
[00:28:32.000 --> 00:28:34.000]  會吧
[00:28:34.000 --> 00:28:36.000]  但是聖經記載
[00:28:36.000 --> 00:28:41.000]  耶穌那個裹屍布是整整齊齊的
[00:28:41.000 --> 00:28:44.000]  是怎麼一回事
[00:28:44.000 --> 00:28:45.000]  好了
[00:28:45.000 --> 00:28:46.000]  還有
[00:28:46.000 --> 00:28:49.000]  門徒沒有偷屍體的動機
[00:28:49.000 --> 00:28:51.000]  如果他們偷了屍體
[00:28:51.000 --> 00:28:53.000]  他們放在哪裏
[00:28:53.000 --> 00:28:56.000]  而且他們一邊在房子裏面
[00:28:56.000 --> 00:28:58.000]  比如說我們偷了屍體
[00:28:58.000 --> 00:29:00.000]  然後我們說耶穌復活了
[00:29:00.000 --> 00:29:03.000]  但是如果他們真的有屍體的話
[00:29:03.000 --> 00:29:04.000]  放在後面
[00:29:04.000 --> 00:29:05.000]  那個屍體放在後面
[00:29:05.000 --> 00:29:07.000]  然後他告訴人
[00:29:07.000 --> 00:29:10.000]  這是耶穌復活了
[00:29:10.000 --> 00:29:12.000]  他講不講得出去
[00:29:12.000 --> 00:29:14.000]  他有力量講嗎
[00:29:14.000 --> 00:29:18.000]  而且那些人說你再講我殺你了
[00:29:18.000 --> 00:29:21.000]  你殺我都是要講
[00:29:21.000 --> 00:29:23.000]  你殺我我就告訴你
[00:29:23.000 --> 00:29:24.000]  我沒有
[00:29:24.000 --> 00:29:26.000]  是我拿掉哪個身體而已
[00:29:26.000 --> 00:29:28.000]  不可能的
[00:29:28.000 --> 00:29:29.000]  所以說你殺就殺
[00:29:29.000 --> 00:29:32.000]  因爲我們親眼看到復活的主
[00:29:32.000 --> 00:29:34.000]  多次向我們顯現
[00:29:34.000 --> 00:29:36.000]  多瑪可以說
[00:29:36.000 --> 00:29:37.000]  他可以說
[00:29:37.000 --> 00:29:39.000]  我摸過他的肋膀
[00:29:39.000 --> 00:29:41.000]  因爲我是現實主義者
[00:29:41.000 --> 00:29:45.000]  我不信相信我眼睛沒有看過的東西
[00:29:45.000 --> 00:29:47.000]  我摸過我的丁橫的手
[00:29:47.000 --> 00:29:49.000]  我摸過耶穌的肋膀
[00:29:49.000 --> 00:29:54.000]  我說我的主我的神
[00:29:54.000 --> 00:29:58.000]  所以這個事不是隨便講的東西
[00:29:58.000 --> 00:30:00.000]  羅馬人偷更加不可能
[00:30:00.000 --> 00:30:02.000]  因爲羅馬人最怕
[00:30:02.000 --> 00:30:07.000]  就是哪些人說彌賽亞來了
[00:30:07.000 --> 00:30:10.000]  所以說耶穌復活
[00:30:10.000 --> 00:30:11.000]  他們不會的
[00:30:11.000 --> 00:30:13.000]  如果真的那個屍體
[00:30:13.000 --> 00:30:14.000]  他們拿出來的時候
[00:30:14.000 --> 00:30:16.000]  門徒他們說耶穌復活
[00:30:16.000 --> 00:30:18.000]  他們很快就將那個屍體拿出來
[00:30:18.000 --> 00:30:19.000]  沒有復活
[00:30:19.000 --> 00:30:21.000]  他的死屍在這裏
[00:30:21.000 --> 00:30:23.000]  猶太人更加不可能
[00:30:23.000 --> 00:30:25.000]  猶太人就不信
[00:30:25.000 --> 00:30:27.000]  相信耶穌是彌賽亞
[00:30:27.000 --> 00:30:30.000]  當然他只是相信他是一個人
[00:30:30.000 --> 00:30:33.000]  一個人他們不相信會復活的
[00:30:33.000 --> 00:30:39.000]  是吧
[00:30:39.000 --> 00:30:43.000]  所以如果這樣的話
[00:30:43.000 --> 00:30:46.000]  不是門徒偷走他的屍體
[00:30:46.000 --> 00:30:49.000]  不是猶太人偷走他的身體
[00:30:49.000 --> 00:30:53.000]  不是羅馬人偷掉了他的身體
[00:30:53.000 --> 00:30:55.000]  唯有一個可能
[00:30:55.000 --> 00:31:00.000]  會不會耶穌真的從死裏面復活了
[00:31:00.000 --> 00:31:03.000]  這只是其中一點而已
[00:31:03.000 --> 00:31:05.000]  所以耶穌不單止復活
[00:31:05.000 --> 00:31:07.000]  聖經裏面告訴我們
[00:31:07.000 --> 00:31:09.000]  當權者
[00:31:09.000 --> 00:31:12.000]  他們要兵丁撒放
[00:31:12.000 --> 00:31:15.000]  但是證據你找不出來
[00:31:15.000 --> 00:31:18.000]  到今天都找不出來
[00:31:18.000 --> 00:31:20.000]  有人說他分離
[00:31:20.000 --> 00:31:23.000]  但是如果沒有檢驗
[00:31:23.000 --> 00:31:30.000]  哪個人在十字架流出血流出水
[00:31:30.000 --> 00:31:34.000]  就是那個心狀都已經破裂了
[00:31:34.000 --> 00:31:36.000]  然後如果沒有驗證
[00:31:36.000 --> 00:31:39.000]  他們不敢放在他墳墓裏面
[00:31:39.000 --> 00:31:41.000]  一定各方面驗證
[00:31:41.000 --> 00:31:43.000]  聖經也有告訴我們
[00:31:43.000 --> 00:31:45.000]  猶太人也承認他死了
[00:31:45.000 --> 00:31:47.000]  而且盯住那個官員
[00:31:47.000 --> 00:31:51.000]  請你好好派兵丁守住那個墳墓
[00:31:51.000 --> 00:31:54.000]  一定死了才能放進去
[00:31:54.000 --> 00:31:56.000]  就算是分離
[00:31:56.000 --> 00:31:59.000]  一個流血流得那麼厲害的人
[00:31:59.000 --> 00:32:02.000]  沒有好好的空氣流通的
[00:32:02.000 --> 00:32:05.000]  沒有東西喫三天
[00:32:05.000 --> 00:32:08.000]  他有沒有力量將那個石頭推開
[00:32:08.000 --> 00:32:10.000]  不可能吧
[00:32:10.000 --> 00:32:12.000]  那麼可不可能
[00:32:12.000 --> 00:32:17.000]  耶穌已經從死裏面復活了
[00:32:17.000 --> 00:32:20.000]  親愛的弟兄姐妹
[00:32:20.000 --> 00:32:22.000]  我們所信的信仰
[00:32:22.000 --> 00:32:24.000]  你可以拒絕
[00:32:24.000 --> 00:32:28.000]  你可以不喜歡聽
[00:32:28.000 --> 00:32:30.000]  你可以否定
[00:32:30.000 --> 00:32:35.000]  但是先不是談你信不信耶穌
[00:32:35.000 --> 00:32:37.000]  我們信主也好
[00:32:37.000 --> 00:32:38.000]  沒有信主也好
[00:32:38.000 --> 00:32:39.000]  特別我們信了主的
[00:32:39.000 --> 00:32:42.000]  我們更加要了解我們的信仰
[00:32:42.000 --> 00:32:44.000]  我們所信的耶穌
[00:32:44.000 --> 00:32:47.000]  是否真的從死裏面復活
[00:32:47.000 --> 00:32:50.000]  你我要回家好好地看聖經
[00:32:50.000 --> 00:32:53.000]  也好好參考那個資料
[00:32:53.000 --> 00:32:55.000]  下一次有機會的時候
[00:32:55.000 --> 00:32:57.000]  再跟大家講
[00:32:57.000 --> 00:32:59.000]  耶穌不單止屍體不見了
[00:32:59.000 --> 00:33:04.000]  耶穌也親眼給很多人看到
[00:33:04.000 --> 00:33:07.000]  祂是復活的主
[00:33:07.000 --> 00:33:15.000]  我們低頭禱告好嗎
[00:33:15.000 --> 00:33:19.000]  親愛的弟兄姐妹
[00:33:19.000 --> 00:33:22.000]  在這裏
[00:33:22.000 --> 00:33:24.000]  不是勸你接受個信仰
[00:33:24.000 --> 00:33:28.000]  不是勸你接受個宗教
[00:33:28.000 --> 00:33:31.000]  我們沒有這個功夫
[00:33:31.000 --> 00:33:33.000]  去勸很多人接受
[00:33:33.000 --> 00:33:35.000]  一個只是主觀
[00:33:35.000 --> 00:33:40.000]  心理作用的東西
[00:33:40.000 --> 00:33:46.000]  但是如果耶穌基督是又真又活的神
[00:33:46.000 --> 00:33:50.000]  祂說祂能夠泄滅你的罪
[00:33:50.000 --> 00:33:52.000]  深層的罪
[00:33:52.000 --> 00:33:55.000]  驕傲的罪
[00:33:55.000 --> 00:33:58.000]  情慾的罪
[00:33:58.000 --> 00:33:59.000]  殺人的罪
[00:33:59.000 --> 00:34:01.000]  什麼的罪
[00:34:01.000 --> 00:34:02.000]  大的罪小的罪
[00:34:02.000 --> 00:34:09.000]  然後祂說我可以無罪釋放你
[00:34:09.000 --> 00:34:11.000]  不是說祂縱容罪
[00:34:11.000 --> 00:34:15.000]  反而祂要我們面對我們的軟弱跟罪惡
[00:34:15.000 --> 00:34:21.000]  以致到我們有一個轉機
[00:34:21.000 --> 00:34:23.000]  節理不能夠改變你
[00:34:23.000 --> 00:34:25.000]  被釘在十字架上
[00:34:25.000 --> 00:34:27.000]  爲你的罪而死的耶穌
[00:34:27.000 --> 00:34:30.000]  祂的寶穴能夠潔淨你
[00:34:30.000 --> 00:34:31.000]  你願意嗎
[00:34:31.000 --> 00:34:34.000]  你願意被祂潔淨嗎
[00:34:34.000 --> 00:34:35.000]  還有
[00:34:35.000 --> 00:34:38.000]  當你接受耶穌之後
[00:34:38.000 --> 00:34:43.000]  你不單只是接受一個爲你而死的主
[00:34:43.000 --> 00:34:44.000]  而且
[00:34:44.000 --> 00:34:47.000]  祂爲你而活
[00:34:47.000 --> 00:34:50.000]  祂要給你一個新的生命
[00:34:50.000 --> 00:34:53.000]  衆人人生很多痛苦
[00:34:53.000 --> 00:34:55.000]  你我有一天都會面對
[00:34:55.000 --> 00:34:58.000]  現在可能也經歷
[00:34:58.000 --> 00:34:59.000]  但是符合的主
[00:34:59.000 --> 00:35:01.000]  在我們有生的年月
[00:35:01.000 --> 00:35:03.000]  祂會給你足夠的力量
[00:35:03.000 --> 00:35:08.000]  符合的大能要在你生命裏面
[00:35:08.000 --> 00:35:12.000]  產生很大的作用
[00:35:12.000 --> 00:35:14.000]  如果我們有病痛
[00:35:14.000 --> 00:35:18.000]  或者自然年老了要離開世界
[00:35:18.000 --> 00:35:19.000]  你不要怕
[00:35:19.000 --> 00:35:21.000]  也不要擔心
[00:35:21.000 --> 00:35:24.000]  因爲耶穌曾經應許說
[00:35:24.000 --> 00:35:26.000]  符合在我
[00:35:26.000 --> 00:35:28.000]  生命也在我
[00:35:28.000 --> 00:35:31.000]  信我的人雖然死了
[00:35:31.000 --> 00:35:34.000]  也必定能夠復活
[00:35:34.000 --> 00:35:36.000]  凡活着信我的人
[00:35:36.000 --> 00:35:38.000]  耶穌怎麼說
[00:35:38.000 --> 00:35:40.000]  別永遠不死
[00:35:40.000 --> 00:35:42.000]  你信嗎
[00:35:42.000 --> 00:35:45.000]  親愛的天父願意一切的榮耀歸給你
[00:35:45.000 --> 00:35:47.000]  願意我們信徒的生命
[00:35:47.000 --> 00:35:49.000]  每天親近你的時候
[00:35:49.000 --> 00:35:53.000]  親身經歷耶穌基督符合的大浪
[00:35:53.000 --> 00:35:57.000]  讓我們成爲別人的祝福
[00:35:57.000 --> 00:36:00.000]  將榮耀歸給上帝
[00:36:00.000 --> 00:36:02.000]  謝謝大家 再見
