
[00:00:00.000 --> 00:00:03.780]  2021-2022年度的拆船年會
[00:21:04.020 --> 00:21:06.220]  使人見到我們的好行為
[00:21:06.220 --> 00:21:10.220]  就把榮耀歸給神
[00:21:10.220 --> 00:21:12.100]  不單是在三月份
[00:21:12.100 --> 00:21:14.420]  我們這個拆船月
[00:21:14.420 --> 00:21:17.620]  而是我們要在每一天的生活當中
[00:21:17.620 --> 00:21:22.020]  我們都要切實的活出一個落地的信仰
[00:21:22.020 --> 00:21:23.900]  將榮耀歸於神
[00:21:23.900 --> 00:21:29.500]  我們一同同心禱告
[00:21:29.500 --> 00:21:32.220]  親愛的主今天我們來到您面前
[00:21:32.220 --> 00:21:34.300]  幫助我們看到我們自己
[00:21:34.300 --> 00:21:36.500]  不過是一個瓦器
[00:21:36.500 --> 00:21:37.900]  主我們需要祢
[00:21:37.900 --> 00:21:39.220]  我們渴慕祢
[00:21:39.220 --> 00:21:40.820]  我們倚靠祢
[00:21:40.820 --> 00:21:42.020]  感謝祢
[00:21:42.020 --> 00:21:43.620]  全地至高的主
[00:21:43.620 --> 00:21:48.020]  竟然願意居住在我們這些卑微的人當中
[00:21:48.020 --> 00:21:49.620]  願主你這個寶貝
[00:21:49.620 --> 00:21:52.700]  在我們的生命當中坐著為王
[00:21:52.700 --> 00:21:55.060]  好讓我們成為一個寶貴
[00:21:55.060 --> 00:21:56.820]  貴重的器皿
[00:21:56.820 --> 00:21:58.420]  使用我們的生命
[00:21:58.420 --> 00:22:00.620]  彰顯主祢的榮光
[00:22:00.620 --> 00:22:02.420]  教福音的大能
[00:22:02.420 --> 00:22:04.220]  轉化這個世界
[00:22:04.220 --> 00:22:06.100]  我們同心的禱告仰望
[00:22:06.100 --> 00:22:08.300]  奉主耶穌基督的名求
[00:22:08.300 --> 00:22:09.300]  Amen
