
[00:00:00.000 --> 00:00:09.620]  今天我所定的題目 我們要看的是一位婦女 在舊約中的婦女 哈娜
[00:25:08.820 --> 00:25:10.820]  在希臘文的背景裡面
[00:25:10.820 --> 00:25:11.820]  他就用
[00:25:11.820 --> 00:25:13.820]  他是a alpha
[00:25:13.820 --> 00:25:15.820]  他是omega
[00:25:15.820 --> 00:25:17.820]  就是英文的z
[00:25:17.820 --> 00:25:18.820]  他是第一個字母
[00:25:18.820 --> 00:25:22.820]  他也是最後一個字母
[00:25:22.820 --> 00:25:26.820]  第二點
[00:25:26.820 --> 00:25:31.820]  你是否養育兒女是為神使用
[00:25:31.820 --> 00:25:33.820]  今天的功課
[00:25:33.820 --> 00:25:34.820]  沒有錯
[00:25:34.820 --> 00:25:36.820]  我們敬畏在座每個母親
[00:25:36.820 --> 00:25:38.820]  我們更敬畏
[00:25:38.820 --> 00:25:40.820]  那母親
[00:25:40.820 --> 00:25:43.820]  把自己的孩童帶到神的面前
[00:25:43.820 --> 00:25:47.820]  這是更加應該敬畏的
[00:25:47.820 --> 00:25:51.820]  假如我們只是單單自己信主
[00:25:51.820 --> 00:25:56.820]  而不把小孩帶到神的面前
[00:25:56.820 --> 00:26:02.820]  那我們的信主要大打折扣
[00:26:02.820 --> 00:26:04.820]  帶到神的面前
[00:26:04.820 --> 00:26:09.820]  並不是說一定要全職的侍奉
[00:26:09.820 --> 00:26:10.820]  你在什麼崗位
[00:26:10.820 --> 00:26:12.820]  你可以榮耀神
[00:26:12.820 --> 00:26:14.820]  你就是帶到神的面前
[00:26:14.820 --> 00:26:16.820]  不是所有的基督徒
[00:26:16.820 --> 00:26:19.820]  都是要講道
[00:26:19.820 --> 00:26:21.820]  不是所有的基督徒
[00:26:21.820 --> 00:26:26.820]  都是到非洲去宣教
[00:26:26.820 --> 00:26:28.820]  被神使用
[00:26:28.820 --> 00:26:33.820]  神在這樣的宇宙世界裡面
[00:26:33.820 --> 00:26:35.820]  在不同的崗位
[00:26:35.820 --> 00:26:37.820]  萬事互相效力
[00:26:37.820 --> 00:26:39.820]  叫愛神的人得一助
[00:26:39.820 --> 00:26:43.820]  使神的名被高舉
[00:26:43.820 --> 00:26:45.820]  所以有的人學識好
[00:26:45.820 --> 00:26:47.820]  也是榮耀神
[00:26:47.820 --> 00:26:51.820]  有的人工作比較普通
[00:26:51.820 --> 00:26:54.820]  同樣可以榮耀神
[00:26:54.820 --> 00:26:56.820]  只要在你的工作崗位
[00:26:56.820 --> 00:26:58.820]  你盡忠服事
[00:26:58.820 --> 00:27:01.820]  就像坐在主身上
[00:27:01.820 --> 00:27:04.820]  一樣榮耀神
[00:27:04.820 --> 00:27:05.820]  所以第二點
[00:27:05.820 --> 00:27:08.820]  你是否養育兒女
[00:27:08.820 --> 00:27:10.820]  是為神使用
[00:27:10.820 --> 00:27:14.820]  若是我們把兒女放在課外的活動
[00:27:14.820 --> 00:27:17.820]  加倍的我們擺上心地
[00:27:17.820 --> 00:27:21.820]  可是在教會屬靈的事工上
[00:27:21.820 --> 00:27:31.820]  我們親事可能跟哈娜相差十萬八千里
[00:27:31.820 --> 00:27:33.820]  所以我願意用這兩點
[00:27:33.820 --> 00:27:37.820]  結束今天母親節
[00:27:37.820 --> 00:27:40.820]  向各位母親致敬
[00:27:40.820 --> 00:27:43.820]  同時也借助神的話語
[00:27:43.820 --> 00:27:48.820]  提醒我們是否在神面前我們有承諾
[00:27:48.820 --> 00:27:52.820]  是否我們把自己的孩童帶到神的面前
[00:27:52.820 --> 00:27:56.820]  是否只是我們單單自己受洗
[00:27:56.820 --> 00:27:58.820]  孩童受洗不受洗
[00:27:58.820 --> 00:28:03.820]  是他自由的事
[00:28:03.820 --> 00:28:10.820]  他參加不參加聚會是他自由
[00:28:10.820 --> 00:28:16.820]  讓等一下孩童們的詩歌的獻詩
[00:28:16.820 --> 00:28:22.820]  知道何等的純真可愛天真活潑
[00:28:22.820 --> 00:28:26.820]  再過五年再過十年
[00:28:26.820 --> 00:28:29.820]  就不一樣了
[00:28:29.820 --> 00:28:33.820]  我記得2001年
[00:28:33.820 --> 00:28:36.820]  我在這裡講到的時候
[00:28:36.820 --> 00:28:39.820]  我說再過十年
[00:28:39.820 --> 00:28:41.820]  沒有說2001年
[00:28:41.820 --> 00:28:42.820]  我說再過十年
[00:28:42.820 --> 00:28:44.820]  我們在座的這些小孩
[00:28:44.820 --> 00:28:46.820]  都已經會離開sacramento
[00:28:46.820 --> 00:28:49.820]  到各地去求學或是工作
[00:28:49.820 --> 00:28:53.820]  十年過去了
[00:28:53.820 --> 00:28:54.820]  我現在一看
[00:28:54.820 --> 00:28:58.820]  百分之九十以上都不在sacramento
[00:28:58.820 --> 00:29:00.820]  所以這些小孩在我們面前
[00:29:00.820 --> 00:29:02.820]  那是寶貴的時間
[00:29:02.820 --> 00:29:05.820]  這些小孩在我們教會中
[00:29:05.820 --> 00:29:08.820]  是黃金時候老師的教導
[00:29:08.820 --> 00:29:12.820]  父母的關心帶到教會來
[00:29:12.820 --> 00:29:15.820]  你不可忽視
[00:29:15.820 --> 00:29:19.820]  不是主任學老師要負全責
[00:29:19.820 --> 00:29:22.820]  父母要負更大的責任
[00:29:22.820 --> 00:29:24.820]  把他們帶到教會
[00:29:24.820 --> 00:29:28.820]  教會老師盡忠的教導
[00:29:28.820 --> 00:29:30.820]  他們以後走上道路
[00:29:30.820 --> 00:29:33.820]  就是正路不會偏離
[00:29:33.820 --> 00:29:40.820]  你可以留下什麼給你的下一輩
[00:29:40.820 --> 00:29:44.820]  財富
[00:29:44.820 --> 00:29:47.820]  任何的東西都會過去
[00:29:47.820 --> 00:29:52.820]  唯有認識那萬福的源頭
[00:29:52.820 --> 00:29:55.820]  不永不改變的真神
[00:29:55.820 --> 00:29:58.820]  那是真正的福氣
[00:29:58.820 --> 00:30:04.820]  讓我們看重孩童下一代的教導
[00:30:04.820 --> 00:30:06.820]  也看重我們自己
[00:30:06.820 --> 00:30:10.820]  兒女在淑麟方面的追求
[00:30:10.820 --> 00:30:15.820]  信主蒙恩得救的重要性
[00:30:15.820 --> 00:30:22.820]  一起低頭禱告
[00:30:22.820 --> 00:30:26.820]  主耶穌讓我們今天的母親節信息
[00:30:26.820 --> 00:30:31.820]  帶來那永世的福分
[00:30:31.820 --> 00:30:33.820]  不是我們人說什麼
[00:30:33.820 --> 00:30:36.820]  那是聖經中記載
[00:30:36.820 --> 00:30:38.820]  哈那在痛苦中
[00:30:38.820 --> 00:30:42.820]  人無法理喻明白的當中
[00:30:42.820 --> 00:30:45.820]  他把一切的痛苦帶到神的面前
[00:30:45.820 --> 00:30:49.820]  更是向神許願
[00:30:49.820 --> 00:30:53.820]  神你就成就大事
[00:30:53.820 --> 00:30:56.820]  讓撒摩爾開始立王
[00:30:56.820 --> 00:30:59.820]  新的一個紀元
[00:30:59.820 --> 00:31:03.820]  以色列就有王
[00:31:03.820 --> 00:31:07.820]  米賽亞也就是那永遠的王
[00:31:07.820 --> 00:31:12.820]  也是從大衛的後裔而開始
[00:31:12.820 --> 00:31:13.820]  讓我們在座今天
[00:31:13.820 --> 00:31:16.820]  在這裡一起敬拜慶祝母親節
[00:31:16.820 --> 00:31:18.820]  是因為我們認識你
[00:31:18.820 --> 00:31:22.820]  我們就得到那永遠的福分
[00:31:22.820 --> 00:31:25.820]  獻上禱告感謝奉主耶穌的名
[00:31:25.820 --> 00:31:26.820]  阿們
